일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2011-01-03,69530,-1726,-2.42,71884,72041,69059,152703,34040996500,1.07E+13,48127704
2011-02-01,61839,-942,-1.5,63095,64350,61682,198378,39677283000,9.48E+12,48127704
2011-03-02,59328,-157,-0.26,59171,59485,58072,123462,23143798000,9.10E+12,48127704
2011-04-01,64193,4080,6.79,60897,64350,60740,451088,90390906500,9.84E+12,48127704
2011-05-02,68588,1884,2.82,66704,68588,66704,193071,41810148500,1.05E+13,48127704
2011-06-01,60740,471,0.78,60740,60740,59328,120291,23065278000,9.31E+12,48127704
2011-07-01,59328,0,0,60269,60426,59328,132917,25265935500,9.10E+12,48127704
2011-08-01,66861,941,1.43,66077,68431,66077,300776,64430735500,1.03E+13,48127704
2011-09-01,65135,-157,-0.24,65449,68274,64664,315034,67345959000,9.99E+12,48127704
2011-10-04,71256,0,0,70157,73453,70000,344050,78660588320,1.09E+13,48127704
2011-11-01,72198,-942,-1.29,73610,73767,71727,123388,28624906500,1.11E+13,48127704
2011-12-01,71256,-6592,-8.47,79731,79731,68902,977618,2.26E+11,1.09E+13,48127704
2012-01-02,65606,-628,-0.95,65606,67175,65135,79684,16663957000,1.01E+13,48127704
2012-02-01,65920,-628,-0.94,66704,67803,65292,260649,55117710522,1.01E+13,48127704
2012-03-02,74552,1256,1.71,73610,74709,71099,268744,62233448000,1.14E+13,48127704
2012-04-02,81301,-314,-0.38,83184,83812,80359,147065,38495870162,1.25E+13,48127704
2012-05-02,78476,-1883,-2.34,80202,80359,78476,142849,36127000500,1.20E+13,48127704
2012-06-01,75337,-785,-1.03,74552,76279,74081,183358,44096018000,1.16E+13,48127704
2012-07-02,76592,-1884,-2.4,76906,77377,76122,156875,38340608000,1.17E+13,48127704
2012-08-01,86951,628,0.73,85382,88207,85382,100006,27643663000,1.33E+13,48127704
2012-09-03,81615,157,0.19,81301,82086,79104,142893,36748382000,1.25E+13,48127704
2012-10-02,87736,-3453,-3.79,91189,91346,87736,239167,68246450500,1.35E+13,48127704
2012-11-01,79418,157,0.2,79104,79731,78005,213923,53920382000,1.22E+13,48127704
2012-12-03,82243,3139,3.97,80202,82243,79418,155662,40484747000,1.26E+13,48127704
2013-01-02,71413,157,0.22,72355,72983,71256,154535,35425926500,1.09E+13,48127704
2013-02-01,77220,1569,2.07,75965,77534,75965,209171,50596776500,1.18E+13,48127704
2013-03-04,86323,3766,4.56,84283,86637,84283,340339,93185502000,1.32E+13,48127704
2013-04-01,92288,5337,6.14,87893,92758,87422,315284,91729058500,1.41E+13,48127704
2013-05-02,94171,1256,1.35,94171,95741,93700,356464,1.08E+11,1.44E+13,48127704
2013-06-03,93543,-2198,-2.3,95741,95741,93543,205400,61607519500,1.43E+13,48127704
2013-07-01,91032,-157,-0.17,90404,91974,89149,136750,39625668000,1.40E+13,48127704
