일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2011-01-03,25300,1300,5.42,25000,25300,24800,15107759,3.79316E+11,1.4934E+13,590276554
2011-02-01,29650,0,0,29800,30350,29200,9606594,2.86074E+11,1.75017E+13,590276646
2011-03-02,27550,-800,-2.82,27900,28200,27350,4652449,1.2925E+11,1.62622E+13,590278539
2011-04-01,31600,300,0.96,31350,31700,30850,6802701,2.13066E+11,1.86529E+13,590282270
2011-05-02,34600,800,2.37,33600,34600,33600,5524897,1.89466E+11,2.04413E+13,590788904
2011-06-01,28400,-1700,-5.65,30100,30100,28150,22119286,6.37197E+11,1.68171E+13,592152970
2011-07-01,26700,1650,6.59,25600,26750,25500,13345738,3.50071E+11,1.5811E+13,592171582
2011-08-01,25550,1300,5.36,24700,25600,24400,10275261,2.5787E+11,1.513E+13,592171582
2011-09-01,19200,100,0.52,19300,20100,19150,16845832,3.31929E+11,1.13697E+13,592171582
2011-10-04,20700,-650,-3.04,20000,20700,19850,10959265,2.20904E+11,1.2258E+13,592171582
2011-11-01,23900,1050,4.6,22500,24150,22500,10593299,2.50973E+11,1.41529E+13,592171582
2011-12-01,23450,500,2.18,23950,24050,23350,9146677,2.16504E+11,1.38864E+13,592171582
2012-01-02,23450,1500,6.83,22700,23500,22600,12170153,2.81873E+11,1.38864E+13,592171582
2012-02-01,27200,350,1.3,26850,27200,26600,5595741,1.51139E+11,1.61071E+13,592171582
2012-03-02,30450,250,0.83,30350,30450,29700,7961280,2.39678E+11,2.1133E+13,694024408
2012-04-02,29350,100,0.34,29150,29550,29100,4727837,1.38654E+11,2.03696E+13,694024412
2012-05-02,27350,-700,-2.5,28300,28350,27100,7203804,1.97376E+11,1.89817E+13,694028502
2012-06-01,22750,-350,-1.52,23050,23250,22750,3513845,80681311550,1.57913E+13,694122430
2012-07-02,23700,-150,-0.63,24300,24350,23700,3887302,93603923700,1.64507E+13,694122430
2012-08-01,21500,-200,-0.92,21900,22100,21450,5633215,1.22694E+11,1.49236E+13,694122430
2012-09-03,21400,200,0.94,21200,21450,20900,3518196,74747782700,1.48542E+13,694122430
2012-10-02,22500,-250,-1.1,22950,23000,22350,2858070,64747946650,1.56178E+13,694122451
2012-11-01,25500,650,2.62,24950,25900,24700,8312753,2.11017E+11,1.77001E+13,694122451
2012-12-03,24400,0,0,24300,24650,24200,4155082,1.01381E+11,1.69373E+13,694152751
2013-01-02,26600,850,3.3,26150,26650,26100,5151547,1.36251E+11,1.84645E+13,694152768
2013-02-01,24200,-200,-0.82,24250,24450,24050,4025938,97598768700,1.67986E+13,694155767
2013-03-04,26000,-500,-1.89,26600,26700,25900,3753949,98714951300,1.80481E+13,694155801
2013-04-01,28650,-100,-0.35,28900,29050,28600,1972865,56831178750,1.98877E+13,694160034
2013-05-02,29450,-450,-1.51,29750,29850,29300,2792031,82303438750,2.04432E+13,694167032
2013-06-03,31900,-300,-0.93,31950,32150,31750,3449693,1.10146E+11,2.21442E+13,694176105
2013-07-01,31550,350,1.12,30950,31850,30850,4062599,1.28025E+11,2.19106E+13,694472461
2013-08-01,27400,200,0.74,27250,27450,27100,6151190,1.68293E+11,1.90483E+13,695193593
2013-09-02,28300,50,0.18,28500,28650,28200,3035909,86201425550,2.00987E+13,710200891
2013-10-01,29950,-300,-0.99,30200,30500,29800,3094789,93341827050,2.12705E+13,710200891
2013-11-01,33250,1300,4.07,32150,33300,32100,4753636,1.56647E+11,2.36142E+13,710200891
2013-12-02,35700,300,0.85,35650,35900,35250,3268831,1.16575E+11,2.53542E+13,710200891
2014-01-02,35550,-1250,-3.4,37100,37350,35550,4503101,1.62885E+11,2.52476E+13,710200891
2014-02-03,37950,100,0.26,37500,38200,37450,3258954,1.22986E+11,2.69521E+13,710200891
2014-03-03,38950,200,0.52,38300,38950,38200,2334413,90070109400,2.76623E+13,710200891
2014-04-01,37000,1000,2.78,36650,37100,36600,4963237,1.83077E+11,2.62774E+13,710200891
2014-05-02,40650,500,1.25,41200,41350,40550,3374051,1.38292E+11,2.88697E+13,710200891
2014-06-02,44700,550,1.25,44200,45200,44150,2594762,1.16396E+11,3.18067E+13,711559428
2014-07-01,48450,-100,-0.21,49450,49450,48400,2661236,1.30133E+11,3.45089E+13,712258284
2014-08-01,46300,850,1.87,44100,46400,44000,5318497,2.42995E+11,3.34348E+13,722134601
2014-09-01,44500,-900,-1.98,45700,45800,44500,1892686,84832931700,3.21574E+13,722638965
2014-10-01,46400,-350,-0.75,46750,47200,46000,2482308,1.15245E+11,3.35873E+13,723865262
2014-11-03,48050,600,1.26,48000,48250,47600,2388430,1.14604E+11,3.49805E+13,728002365
2014-12-01,47950,-100,-0.21,48050,48500,47800,1444205,69571446600,3.49077E+13,728002365
2015-01-02,47750,0,0,47950,48400,47650,1155944,55452973972,3.47621E+13,728002365
2015-02-02,46600,-1050,-2.2,47300,47600,46350,3258140,1.51975E+11,3.39249E+13,728002365
2015-03-02,46850,250,0.54,46850,46900,46300,2246166,1.04721E+11,3.41069E+13,728002365
2015-04-01,45000,-550,-1.21,45950,46200,44900,2051147,93130819000,3.27601E+13,728002365
2015-05-04,46800,650,1.41,46500,47100,46400,2239896,1.04748E+11,3.40705E+13,728002365
2015-06-01,50600,-500,-0.98,50600,50900,49550,4623131,2.32635E+11,3.68369E+13,728002365
2015-07-01,42800,500,1.18,42800,43200,42250,2126825,90928485100,3.11585E+13,728002365
2015-08-03,35950,-1150,-3.1,36500,37100,35500,5481242,1.97354E+11,2.61717E+13,728002365
2015-09-01,34400,-1400,-3.91,35150,35450,34200,6442285,2.22967E+11,2.50433E+13,728002365
2015-10-01,33700,150,0.45,33750,33950,33500,3667742,1.23629E+11,2.45337E+13,728002365
2015-11-02,32150,1450,4.72,30700,32250,30400,4493014,1.41621E+11,2.34053E+13,728002365
2015-12-01,31350,-250,-0.79,31650,31650,30900,3752942,1.17323E+11,2.28229E+13,728002365
2016-01-04,30150,-600,-1.95,30550,30750,30150,1878039,56961584500,2.19493E+13,728002365
2016-02-01,28400,1100,4.03,28100,28650,27700,4767927,1.3451E+11,2.06753E+13,728002365
2016-03-02,30950,950,3.17,31050,31300,30650,3567312,1.10532E+11,2.25317E+13,728002365
2016-04-01,28200,50,0.18,28450,28500,28050,2991431,84427116250,2.05297E+13,728002365
2016-05-02,27850,-300,-1.07,27950,28300,27750,1306092,36501553650,2.02749E+13,728002365
2016-06-01,28500,-200,-0.7,28850,29000,28400,3630711,1.04028E+11,2.07481E+13,728002365
2016-07-01,32150,-250,-0.77,31800,32700,31600,5289586,1.70553E+11,2.34053E+13,728002365
2016-08-01,34850,450,1.31,34700,35300,34600,3274413,1.14265E+11,2.53709E+13,728002365
2016-09-01,36100,-350,-0.96,36400,36400,35700,1713669,61864693550,2.62809E+13,728002365
2016-10-04,41800,1600,3.98,41500,41800,41000,3639803,1.51061E+11,3.04305E+13,728002365
2016-11-01,42000,1000,2.44,41700,42350,41600,3173446,1.32958E+11,3.05761E+13,728002365
2016-12-01,44200,1300,3.03,43000,44400,43000,3491185,1.53723E+11,3.21777E+13,728002365
2017-01-02,45800,1100,2.46,44750,46000,44600,1547681,70741238750,3.33425E+13,728002365
2017-02-01,54000,300,0.56,54300,54900,53700,2813046,1.52599E+11,3.93121E+13,728002365
