일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2011-01-03,178000,10000,5.95,169500,178000,169500,885579,1.55015E+11,8.10938E+12,45558341
2011-02-01,154500,-1500,-0.96,157500,159000,154500,334846,52553141500,7.03876E+12,45558341
2011-03-02,168500,2000,1.2,166000,172000,166000,567516,96147963000,7.67658E+12,45558341
2011-04-01,172000,4000,2.38,168000,172000,167500,611281,1.04586E+11,7.83603E+12,45558341
2011-05-02,197000,5500,2.87,192000,198000,192000,526341,1.03025E+11,8.97499E+12,45558341
2011-06-01,178500,2000,1.13,180000,183500,177500,1217332,2.19607E+11,8.13216E+12,45558341
2011-07-01,168500,5000,3.06,165500,170000,165000,411614,69266671000,7.67658E+12,45558341
2011-08-01,175500,5500,3.24,173500,176000,173000,372450,65181770000,7.99549E+12,45558341
2011-09-01,138000,-2000,-1.43,140000,145000,138000,612314,86710990500,6.28705E+12,45558341
2011-10-04,111500,-4500,-3.88,108500,112500,105000,377112,40929090000,5.07976E+12,45558341
2011-11-01,136500,500,0.37,137000,140500,135500,445854,61511823500,6.21871E+12,45558341
2011-12-01,139000,5500,4.12,140000,140500,137000,598869,83164150000,6.33261E+12,45558341
2012-01-02,137500,4000,3,135000,139000,135000,293425,40241467000,6.26427E+12,45558341
2012-02-01,145000,5500,3.94,141000,146500,140500,614778,88870158500,6.60596E+12,45558341
2012-03-02,141000,3000,2.17,139500,142000,139000,415634,58467520500,6.42373E+12,45558341
2012-04-02,139000,2000,1.46,137000,140500,137000,294996,41043820000,6.33261E+12,45558341
2012-05-02,160500,-2500,-1.53,166500,166500,160000,717756,1.16726E+11,7.31211E+12,45558341
2012-06-01,153500,500,0.33,152500,156000,152000,180602,27869123500,6.99321E+12,45558341
2012-07-02,150000,-1500,-0.99,153000,153500,149500,163366,24647074000,6.83375E+12,45558341
2012-08-01,144500,2000,1.4,142500,145500,142000,247801,35669209500,6.58318E+12,45558341
2012-09-03,144500,1500,1.05,143500,145000,139000,248698,35411056000,6.58318E+12,45558341
2012-10-02,157000,-1500,-0.95,159500,159500,157000,109874,17374050000,7.15266E+12,45558341
2012-11-01,137500,500,0.36,137000,139000,136000,274105,37757230500,6.26427E+12,45558341
2012-12-03,156000,500,0.32,156000,157000,155000,102448,15992848500,7.1071E+12,45558341
2013-01-02,152500,1500,0.99,152000,153500,152000,116322,17764370500,6.94765E+12,45558341
2013-02-01,140000,-2500,-1.75,143500,143500,139500,150953,21221020000,6.37817E+12,45558341
2013-03-04,139000,0,0,139500,141000,138500,142944,19961226500,6.33261E+12,45558341
2013-04-01,139000,-1500,-1.07,141000,141000,138000,102874,14283066500,6.33261E+12,45558341
2013-05-02,128000,-500,-0.39,128500,131000,127500,157298,20329187000,5.83147E+12,45558341
2013-06-03,141000,-2500,-1.74,142500,144000,141000,298047,42403956000,6.42373E+12,45558341
2013-07-01,141500,5000,3.66,136000,142500,135500,239683,33716902500,6.44651E+12,45558341
2013-08-01,168000,5000,3.07,163000,168500,163000,301093,50257492500,7.6538E+12,45558341
2013-09-02,169500,500,0.3,168500,170000,164500,436776,73031937000,7.72214E+12,45558341
2013-10-01,189500,2000,1.07,187000,193000,187000,288175,54904683000,8.63331E+12,45558341
2013-11-01,181500,4500,2.54,178500,182000,176000,337801,60531182000,8.26884E+12,45558341
2013-12-02,174000,-1500,-0.85,177000,177000,173000,117369,20473624000,7.92715E+12,45558341
2014-01-02,157500,-4500,-2.78,163500,164500,156500,249000,39836206500,7.17544E+12,45558341
2014-02-03,141000,-2500,-1.74,142500,144500,140500,194023,27505207500,6.42373E+12,45558341
2014-03-03,150500,1000,0.67,147500,152000,147000,263729,39634248000,6.85653E+12,45558341
2014-04-01,156500,-4500,-2.8,161500,163000,155500,860842,1.3637E+11,7.12988E+12,45558341
2014-05-02,150000,-1000,-0.66,151000,151500,148500,170135,25505922000,6.83375E+12,45558341
2014-06-02,151500,0,0,151500,152500,151000,103802,15750913000,6.90209E+12,45558341
2014-07-01,168000,6000,3.7,161500,168500,161000,497128,82585199000,7.6538E+12,45558341
2014-08-01,161500,1000,0.62,158500,161500,158000,270721,43475278500,1.11055E+13,68764530
2014-09-01,154000,2500,1.65,153500,155500,153000,314910,48572564500,1.05897E+13,68764530
2014-10-01,122500,0,0,122500,126500,122000,384896,47731110500,8.42365E+12,68764530
2014-11-03,122500,-3500,-2.78,126000,128500,122000,368619,45922698000,8.42365E+12,68764530
2014-12-01,126000,-8000,-5.97,132500,133000,126000,422926,54307722500,8.66433E+12,68764530
2015-01-02,117000,1000,0.86,115500,118500,115500,129817,15228810500,8.04545E+12,68764530
2015-02-02,130500,1500,1.16,129000,131500,128500,195016,25375614500,8.97377E+12,68764530
2015-03-02,139000,2500,1.83,138000,140500,137500,425888,59371585500,9.55827E+12,68764530
2015-04-01,133000,-3500,-2.56,135000,135500,131000,473833,62735569500,9.14568E+12,68764530
2015-05-04,117000,-3000,-2.5,120000,120500,117000,278948,32854218000,8.04545E+12,68764530
2015-06-01,124000,1500,1.22,123000,125500,121000,226382,27967458000,8.5268E+12,68764530
2015-07-01,112500,1500,1.35,112000,113500,111000,195277,21978193500,7.73601E+12,68764530
2015-08-03,82400,-3400,-3.96,85600,86300,82100,1401999,1.16874E+11,5.6662E+12,68764530
2015-09-01,83700,-800,-0.95,84900,85800,82900,304929,25623572300,5.75559E+12,68764530
2015-10-01,108500,0,0,108000,110000,107000,413594,44847164000,7.46095E+12,68764530
2015-11-02,111000,4500,4.23,108000,112500,107000,739889,81727504500,7.63286E+12,68764530
2015-12-01,126000,6000,5,120500,126000,120000,397852,49485491500,8.66433E+12,68764530
2016-01-04,112500,-1500,-1.32,115500,118000,112500,386573,44584347000,7.73601E+12,68764530
2016-02-01,93500,0,0,92000,93500,90600,619951,56841151200,6.42948E+12,68764530
2016-03-02,101000,1100,1.1,101000,101500,99700,211249,21210850100,6.94522E+12,68764530
2016-04-01,97700,-1300,-1.31,100000,100000,97600,236286,23250021138,6.71829E+12,68764530
2016-05-02,114500,500,0.44,113500,114500,112500,325740,37076369500,7.87354E+12,68764530
2016-06-01,117000,4500,4,112500,118000,112000,534309,62024132500,8.04545E+12,68764530
2016-07-01,108500,500,0.46,107500,108500,107000,127857,13779564470,7.46095E+12,68764530
2016-08-01,108000,2500,2.37,106000,108000,105500,177711,19008458500,7.42657E+12,68764530
2016-09-01,108500,-7000,-6.06,111500,113000,107500,920876,1.00572E+11,7.46095E+12,68764530
2016-10-04,97400,1400,1.46,96800,98300,96700,234788,22848429700,6.69767E+12,68764530
2016-11-01,94600,300,0.32,94700,94700,93100,271333,25502106500,6.50512E+12,68764530
2016-12-01,91800,-500,-0.54,91900,92300,91600,130737,12020133900,6.31258E+12,68764530
2017-01-02,106000,-3000,-2.75,103500,107500,102000,345055,36358230000,7.28904E+12,68764530
2017-02-01,118000,2500,2.16,116500,119000,115500,289331,34159895000,8.11421E+12,68764530
2017-03-02,129000,0,0,128500,130000,127000,269085,34571293000,8.87062E+12,68764530
2017-04-03,138000,0,0,138000,139500,137000,141222,19495480500,9.48951E+12,68764530
2017-05-02,137500,0,0,138500,140000,137500,159035,22077290000,9.45512E+12,68764530
2017-06-01,158500,-7000,-4.23,163000,164000,157000,400254,63791598000,1.08992E+13,68764530
2017-07-03,170000,-1500,-0.87,172000,173000,168500,206252,35071798000,1.169E+13,68764530
2017-08-01,172000,3500,2.08,168500,173000,166500,248124,42495202000,1.18275E+13,68764530
2017-09-01,197000,500,0.25,198000,198000,193000,329443,64550952500,1.35466E+13,68764530
2017-10-10,213500,15000,7.56,203000,216500,201000,632311,1.32662E+11,1.46812E+13,68764530
2017-11-01,224500,18500,8.98,220000,224500,215000,1325337,2.92864E+11,1.54376E+13,68764530
2017-12-01,214500,2500,1.18,213500,217000,211500,240475,51453753000,1.475E+13,68764530
2018-01-02,212000,7500,3.67,207500,212500,206500,256209,53909563500,1.45781E+13,68764530
2018-02-01,187500,-9500,-4.82,197000,198000,185000,1296858,2.43875E+11,1.28933E+13,68764530
2018-03-02,170500,-500,-0.29,169500,172000,168500,249335,42486103000,1.17244E+13,68764530
2018-04-02,199500,7000,3.64,200000,204000,199000,583028,1.17325E+11,1.37185E+13,68764530
2018-05-02,183000,-500,-0.27,184500,185000,181000,234717,42935877425,1.25839E+13,68764530
2018-06-01,209000,8500,4.24,201000,210500,200000,357994,74298628500,1.43718E+13,68764530
2018-07-02,214000,0,0,215000,220000,212500,280539,60659390500,1.47156E+13,68764530
2018-08-01,226000,-3000,-1.31,230000,233000,224000,313975,71345324735,1.55408E+13,68764530
2018-09-03,242500,6500,2.75,237500,244000,235500,428249,1.03559E+11,1.66754E+13,68764530
2018-10-01,252500,-6000,-2.32,259500,261000,251000,317594,80722781500,1.7363E+13,68764530
2018-11-01,228500,-7000,-2.97,239500,241000,227500,490359,1.14231E+11,1.57127E+13,68764530
2018-12-03,221000,14500,7.02,211500,222000,211000,511045,1.11378E+11,1.5197E+13,68764530
2019-01-02,210500,-8500,-3.88,222000,224000,208500,345548,73769630500,1.44749E+13,68764530
2019-02-01,227000,3500,1.57,224000,228500,224000,287383,65229091000,1.56095E+13,68764530
2019-03-04,238500,1000,0.42,241500,241500,237000,372829,89113479500,1.64003E+13,68764530
2019-04-01,216500,2000,0.93,218000,219500,215500,249698,54122522500,1.48875E+13,68764530
2019-05-02,238000,1500,0.63,235000,238500,234500,290038,68826343796,1.6366E+13,68764530
2019-06-03,225000,6500,2.97,217000,225000,216500,276974,61679909500,1.5472E+13,68764530
2019-07-01,238000,1500,0.63,239500,239500,235000,156413,37111240500,1.6366E+13,68764530
2019-08-01,248500,-500,-0.2,247500,250000,245000,252270,62594389000,1.7088E+13,68764530
2019-09-02,246000,-3500,-1.4,232500,246000,231500,355071,85272150500,1.69161E+13,68764530
2019-10-01,225500,2500,1.12,221000,229000,221000,167680,37991266500,1.55064E+13,68764530
2019-11-01,231000,3500,1.54,229500,231500,227500,122829,28264193500,1.58846E+13,68764530
2019-12-02,234000,3000,1.3,233000,235500,231500,158683,37049540000,1.60909E+13,68764530
2020-01-02,232000,-4000,-1.69,237000,237500,231500,186494,43482830890,1.59534E+13,68764530
2020-02-03,284000,8000,2.9,271500,284500,268000,558416,1.55856E+11,1.95291E+13,68764530
2020-03-02,304500,9500,3.22,296500,307500,292500,611983,1.84062E+11,2.09388E+13,68764530
2020-04-01,231000,-9500,-3.95,240000,244500,230000,794308,1.8933E+11,1.58846E+13,68764530
2020-05-04,277000,-9000,-3.15,277500,280500,275500,572771,1.59133E+11,1.90478E+13,68764530
2020-06-01,366000,7000,1.95,361000,369500,360500,532951,1.94634E+11,2.51678E+13,68764530
2020-07-01,370500,7000,1.93,370000,379500,367500,541392,2.02467E+11,2.54773E+13,68764530
2020-08-03,414500,17000,4.28,398000,415500,394000,1058971,4.31717E+11,2.85029E+13,68764530
2020-09-01,454500,2000,0.44,453000,459500,444000,367552,1.66411E+11,3.12535E+13,68764530
2020-10-05,436500,3000,0.69,433500,439000,427500,287112,1.24875E+11,3.00157E+13,68764530
2020-11-02,440000,-2000,-0.45,447500,448000,427000,460501,2.00162E+11,3.02564E+13,68764530
2020-12-01,547000,14000,2.63,543000,547000,535000,245050,1.3281E+11,3.76142E+13,68764530
2021-01-04,671000,43000,6.85,660000,682000,640000,694737,4.60597E+11,4.6141E+13,68764530
2021-02-01,745000,11000,1.5,730000,747000,719000,438114,3.22721E+11,5.12296E+13,68764530
2021-03-02,684000,10000,1.48,696000,709000,675000,579401,4.01847E+11,4.70349E+13,68764530
2021-04-01,667000,7000,1.06,670000,673000,660000,250062,1.66688E+11,4.58659E+13,68764530
2021-05-03,639000,-15000,-2.29,655000,655000,636000,258398,1.66372E+11,4.39405E+13,68764530
2021-06-01,616000,1000,0.16,609000,619000,606000,249348,1.53159E+11,4.2359E+13,68764530
2021-07-01,724000,26000,3.72,702000,729000,701000,601568,4.33696E+11,4.97855E+13,68764530
2021-08-02,747000,6000,0.81,744000,747000,733000,195222,1.44429E+11,5.13671E+13,68764530
2021-09-01,788000,-5000,-0.63,793000,795000,779000,203671,1.60087E+11,5.41864E+13,68764530
2021-10-01,707000,-11000,-1.53,709000,718000,702000,184464,1.30683E+11,4.86165E+13,68764530
2021-11-01,723000,-11000,-1.5,733000,733000,716000,256098,1.84886E+11,4.97168E+13,68764530
2021-12-01,693000,5000,0.73,694000,698000,680000,226286,1.56236E+11,4.76538E+13,68764530
