일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2016-11-10,144000,9000,6.67,135000,148000,125500,7179018,1.00334E+12,9.52776E+12,66165000
2016-12-01,144500,-9500,-6.17,153500,154000,144000,852285,1.25616E+11,9.56084E+12,66165000
2017-01-02,156500,5500,3.64,151500,158000,151000,242245,37726204500,1.03548E+13,66165000
2017-02-01,163000,2000,1.24,162000,163000,159500,138216,22335835500,1.07849E+13,66165000
2017-03-02,161500,-3000,-1.82,165000,166000,161000,151100,24582625426,1.06856E+13,66165000
2017-04-03,176000,3000,1.73,171500,177500,171500,215082,37780059500,1.1645E+13,66165000
2017-05-02,179000,4000,2.29,175000,179500,175000,136537,24355735500,1.18435E+13,66165000
2017-06-01,229000,9000,4.09,220000,229000,217500,457129,1.03331E+11,1.51518E+13,66165000
2017-07-03,280500,-11500,-3.94,291000,291500,276000,511043,1.44272E+11,1.85593E+13,66165000
2017-08-01,280000,8000,2.94,267000,282000,266500,187075,51785322500,1.85262E+13,66165000
2017-09-01,280500,-2500,-0.88,285000,285500,280000,110519,31108886500,1.85593E+13,66165000
2017-10-10,348000,10500,3.11,343000,350000,340500,323238,1.12341E+11,2.30254E+13,66165000
2017-11-01,406000,22000,5.73,387000,408000,385500,387331,1.53974E+11,2.6863E+13,66165000
2017-12-01,363500,21000,6.13,345500,365500,345500,298111,1.06954E+11,2.4051E+13,66165000
2018-01-02,389500,18500,4.99,367000,391000,367000,409343,1.56426E+11,2.57713E+13,66165000
2018-02-01,443500,5000,1.14,449000,449500,427000,327874,1.44244E+11,2.93442E+13,66165000
2018-03-02,465500,15500,3.44,446000,467500,444500,227497,1.04027E+11,3.07998E+13,66165000
2018-04-02,486000,-1000,-0.21,487000,490000,482500,91013,44213729500,3.21562E+13,66165000
2018-05-02,404000,-84000,-17.21,410500,445500,391500,2332526,9.68639E+11,2.67307E+13,66165000
2018-06-01,451500,16500,3.79,440000,468500,437000,480497,2.18996E+11,2.98735E+13,66165000
2018-07-02,414500,-2500,-0.6,420500,424000,411000,116110,48666438500,2.74254E+13,66165000
2018-08-01,383000,10000,2.68,374500,387500,373000,157712,60336322500,2.53412E+13,66165000
2018-09-03,472000,9000,1.94,468000,474000,465000,194472,91467041500,3.12299E+13,66165000
2018-10-01,538000,4000,0.75,536000,539000,517000,195675,1.0267E+11,3.55968E+13,66165000
2018-11-01,390000,2500,0.65,388000,400000,387500,222893,87611986500,2.58044E+13,66165000
2018-12-03,334500,0,0,0,0,0,0,0,2.21322E+13,66165000
2019-01-02,374000,-12500,-3.23,389500,392000,372000,148344,56542769500,2.47457E+13,66165000
2019-02-01,388500,-10500,-2.63,397500,400000,386000,264509,1.02792E+11,2.57051E+13,66165000
2019-03-04,376500,500,0.13,377000,379500,376500,76117,28744707000,2.49111E+13,66165000
2019-04-01,327500,8000,2.5,318500,328500,317000,98333,31884814000,2.1669E+13,66165000
2019-05-02,337000,-3000,-0.88,339000,343000,336000,94062,31835802500,2.22976E+13,66165000
2019-06-03,300500,500,0.17,300000,302000,293000,55539,16654933000,1.98826E+13,66165000
2019-07-01,321000,1000,0.31,320500,323000,319000,39226,12588181000,2.1239E+13,66165000
2019-08-01,278000,-2000,-0.71,279500,281500,277000,53326,14893983000,1.83939E+13,66165000
2019-09-02,267000,-2000,-0.74,267500,267500,261000,132489,35037492000,1.76661E+13,66165000
2019-10-01,323000,15500,5.04,308000,323000,305000,105042,33221457500,2.13713E+13,66165000
2019-11-01,396000,-2500,-0.63,397500,398500,390500,82728,32584750500,2.62013E+13,66165000
2019-12-02,390000,-3500,-0.89,394000,398000,387000,64001,24965362500,2.58044E+13,66165000
2020-01-02,428500,-4500,-1.04,433000,439500,425500,108281,46479752500,2.83517E+13,66165000
2020-02-03,479500,-5000,-1.03,477000,484000,465000,193254,91905526500,3.17261E+13,66165000
2020-03-02,467000,3500,0.76,463000,472500,457500,149246,69678391000,3.08991E+13,66165000
2020-04-01,452500,-29500,-6.12,481000,486000,450500,313016,1.4721E+11,2.99397E+13,66165000
2020-05-04,556000,-25000,-4.3,566000,572000,555000,302753,1.70605E+11,3.67877E+13,66165000
2020-06-01,629000,7000,1.13,629000,632000,620000,118807,74511780000,4.16178E+13,66165000
2020-07-01,752000,-23000,-2.97,775000,784000,752000,225298,1.72244E+11,4.97561E+13,66165000
2020-08-03,736000,3000,0.41,728000,740000,717000,163725,1.19131E+11,4.86974E+13,66165000
2020-09-01,781000,3000,0.39,775000,802000,775000,162447,1.2804E+11,5.16749E+13,66165000
2020-10-05,685000,-5000,-0.72,697000,701000,682000,69478,47853091000,4.5323E+13,66165000
2020-11-02,698000,16000,2.35,691000,699000,682000,84738,58515700000,4.61832E+13,66165000
2020-12-01,793000,7000,0.89,794000,799000,786000,76336,60622142000,5.24688E+13,66165000
2021-01-04,829000,3000,0.36,819000,838000,804000,182864,1.49889E+11,5.48508E+13,66165000
2021-02-01,813000,20000,2.52,801000,816000,795000,138666,1.12067E+11,5.37921E+13,66165000
2021-03-02,753000,3000,0.4,757000,772000,748000,83482,63330864000,4.98222E+13,66165000
2021-04-01,747000,-1000,-0.13,744000,753000,742000,57031,42573334000,4.94253E+13,66165000
2021-05-03,773000,-31000,-3.86,804000,804000,767000,107110,83767943000,5.11455E+13,66165000
