일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2011-01-03,19160,180,0.95,19100,19320,19000,265562,2.54247E+11,1.41113E+14,147299337
2011-02-01,19660,40,0.2,19640,19900,19580,269518,2.65789E+11,1.44795E+14,147299337
2011-03-02,18360,-100,-0.54,18280,18460,18240,322780,2.96119E+11,1.35221E+14,147299337
2011-04-01,18800,160,0.86,18720,18800,18540,449733,4.20174E+11,1.38461E+14,147299337
2011-05-02,18640,780,4.37,18200,18740,18080,651726,6.04591E+11,1.37283E+14,147299337
2011-06-01,18220,180,1,18040,18240,17900,313832,2.84509E+11,1.3419E+14,147299337
2011-07-01,17100,580,3.51,16860,17200,16760,442918,3.76709E+11,1.25941E+14,147299337
2011-08-01,17400,520,3.08,17100,17500,17100,389024,3.3791E+11,1.2815E+14,147299337
2011-09-01,15420,540,3.63,15180,15760,14880,717411,5.53684E+11,1.13568E+14,147299337
2011-10-04,16560,-240,-1.43,16100,16640,15920,658616,5.35879E+11,1.21964E+14,147299337
2011-11-01,19800,440,2.27,19360,19980,19240,620094,6.13517E+11,1.45826E+14,147299337
2011-12-01,21480,1400,6.97,20700,21600,20580,694628,7.35398E+11,1.58199E+14,147299337
2012-01-02,21600,440,2.08,21400,21600,21300,263300,2.8268E+11,1.59083E+14,147299337
2012-02-01,21580,-560,-2.53,22140,22140,21560,458731,4.99504E+11,1.58936E+14,147299337
2012-03-02,23640,-480,-1.99,24300,24340,23580,360682,4.31099E+11,1.74108E+14,147299337
2012-04-02,25980,480,1.88,25500,25980,25220,251937,3.2286E+11,1.91342E+14,147299337
2012-05-02,28200,400,1.44,28200,28360,27980,368585,5.19176E+11,2.07692E+14,147299337
2012-06-01,24660,440,1.82,24260,24740,23980,272252,3.3326E+11,1.8162E+14,147299337
2012-07-02,23480,-540,-2.25,24160,24180,23420,383135,4.53284E+11,1.72929E+14,147299337
2012-08-01,26000,-180,-0.69,25840,26300,25660,381803,4.94957E+11,1.91489E+14,147299337
2012-09-03,24360,-300,-1.22,24400,24700,24020,278537,3.38901E+11,1.79411E+14,147299337
2012-10-02,27380,460,1.71,27080,27420,27040,267729,3.65461E+11,2.01653E+14,147299337
2012-11-01,25940,-260,-0.99,25900,26040,25800,209205,2.7117E+11,1.91047E+14,147299337
2012-12-03,28600,480,1.71,28400,28720,28160,204572,2.9153E+11,2.10638E+14,147299337
2013-01-02,31520,1080,3.55,30660,31520,30540,229274,3.5597E+11,2.32144E+14,147299337
2013-02-01,28820,-140,-0.48,29200,29200,28440,231524,3.33162E+11,2.12258E+14,147299337
2013-03-04,30780,-100,-0.32,31260,31260,30600,265537,4.11335E+11,2.26694E+14,147299337
2013-04-01,30240,-300,-0.98,30700,30700,30240,105910,1.60877E+11,2.22717E+14,147299337
2013-05-02,30560,160,0.53,30520,30640,30340,200979,3.06658E+11,2.25073E+14,147299337
2013-06-03,30640,-120,-0.39,30720,31180,30560,206189,3.18806E+11,2.25663E+14,147299337
2013-07-01,26520,-320,-1.19,26680,26920,26440,256519,3.42305E+11,1.95319E+14,147299337
2013-08-01,25600,0,0,25700,25760,25480,181178,2.32282E+11,1.88543E+14,147299337
2013-09-02,27020,-340,-1.24,27360,27420,27000,201632,2.7412E+11,1.99001E+14,147299337
2013-10-01,27640,300,1.1,27600,27660,27200,195463,2.6951E+11,2.03568E+14,147299337
2013-11-01,30000,700,2.39,29800,30000,29360,227154,3.39403E+11,2.20949E+14,147299337
2013-12-02,29340,-540,-1.81,30000,30060,29340,149756,2.22096E+11,2.16088E+14,147299337
2014-01-02,26180,-1260,-4.59,26960,27100,26040,620500,8.20401E+11,1.92815E+14,147299337
