일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2011-01-03,29825,45,0.15,30225,30625,29158,1175729,39572679950,3.89139E+12,115987832
2011-02-01,32136,222,0.7,32269,32581,31825,567435,20571150350,4.19296E+12,115987832
2011-03-02,28002,-489,-1.72,28269,28847,27914,809853,25733349900,3.65853E+12,116143686
2011-04-01,31025,89,0.29,30936,31292,30492,744325,25896658500,4.05341E+12,116143686
2011-05-02,32669,44,0.14,33158,33247,32447,817228,30157783400,4.26828E+12,116143686
2011-06-01,32003,-533,-1.64,32358,32358,31692,466083,16817300000,4.19452E+12,116514312
2011-07-01,38537,-755,-1.92,39381,39470,38492,877112,38346087850,5.0509E+12,116514312
2011-08-01,43070,400,0.94,42759,43070,42181,497448,23861705850,5.64512E+12,116514312
2011-09-01,40892,-445,-1.08,41604,42404,40715,1461008,68536836450,5.36005E+12,116522891
2011-10-04,39559,311,0.79,37337,39559,37248,711316,30580215800,5.18527E+12,116522891
2011-11-01,33114,-400,-1.19,34003,34225,33114,1704466,64479744100,4.34048E+12,116522891
2011-12-01,33114,756,2.34,33603,34225,33114,2829830,1.07419E+11,4.34048E+12,116522891
2012-01-02,31781,-488,-1.52,32447,32492,31558,711840,25530518700,4.16569E+12,116522891
2012-02-01,33603,222,0.67,33470,33647,32981,926678,34733688450,4.40457E+12,116522891
2012-03-02,30758,-356,-1.14,31336,31647,30536,1303360,45433673800,4.03509E+12,116621020
2012-04-02,32758,-89,-0.27,33025,33203,32714,423154,15672684550,4.29748E+12,116621020
2012-05-02,29736,1422,5.02,28314,29736,28269,853345,28011531100,3.90097E+12,116621020
2012-06-01,44284,-266,-0.6,45147,46143,44218,1955246,66466913200,3.89761E+12,116869824
2012-07-02,39836,-398,-0.99,40699,40832,39836,958974,29058540600,5.23732E+12,174577236
2012-08-01,37778,399,1.07,37313,37778,37047,498161,14059585500,4.96672E+12,174577236
2012-09-03,39371,-664,-1.66,39836,40168,39305,832357,24793492500,5.17792E+12,174634760
2012-10-02,37446,266,0.71,37578,37910,37180,599628,16944983800,4.9247E+12,174634760
2012-11-01,35520,-133,-0.37,35653,35852,34989,410527,10968250550,4.67148E+12,174634760
