일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2011-01-03,15476,-80,-0.52,15617,15617,15335,67366,5163423200,1.02424E+12,13336456
2011-02-01,16423,182,1.12,16262,16443,16141,56923,4604839000,1.08895E+12,13361389
2011-03-02,19304,-766,-3.82,19768,20070,18861,245244,23482216300,1.28076E+12,13369099
2011-04-01,20010,262,1.33,19707,20090,19586,90421,8882746800,1.33097E+12,13403489
2011-05-02,22710,585,2.64,22085,22750,21581,92586,10175514200,1.51325E+12,13427204
2011-06-01,21561,443,2.1,21199,21722,21118,39005,4164128600,1.44192E+12,13475924
2011-07-01,22186,-181,-0.81,22408,22528,22065,103381,11369164558,1.48447E+12,13482969
2011-08-01,26881,282,1.06,26841,27183,26498,71417,9526403556,1.78688E+12,13394914
2011-09-01,25793,202,0.79,25793,26135,25390,206243,26473550100,1.7176E+12,13418739
2011-10-04,27002,-1894,-6.56,27808,28171,26277,255174,34039220800,1.79827E+12,13419939
2011-11-01,26236,-1149,-4.19,27203,27526,26236,182576,24177048300,1.74893E+12,13432639
2011-12-01,27969,-1451,-4.93,29924,30226,27707,279926,39626082000,1.8663E+12,13445939
2012-01-02,24926,745,3.08,24382,25088,24181,95726,11768463900,1.664E+12,13451869
2012-02-01,26035,-544,-2.05,26337,26518,25934,60816,7900118000,1.73833E+12,13454569
2012-03-02,22670,-40,-0.18,22770,22831,22428,167451,18734831400,1.51399E+12,13457689
2012-04-02,23959,-40,-0.17,24181,24302,23778,84633,10055126100,1.60096E+12,13464739
2012-05-02,20977,-383,-1.79,21380,21864,20715,203321,21251034400,1.40238E+12,13471429
2012-06-01,20010,-362,-1.78,20453,20574,19990,159082,15975146860,1.33912E+12,13485579
2012-07-02,20211,-403,-1.96,20352,20997,20211,80356,8155048900,1.35304E+12,13489979
2012-08-01,22246,-41,-0.18,22105,22246,21884,88834,9732275100,1.49009E+12,13497229
