일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
2011-01-03,177000,3500,2.02,174000,177000,173500,556135,97468816500,3.89889E+13,220276479
2011-02-01,181000,2000,1.12,179000,185000,179000,922873,1.68044E+11,3.987E+13,220276479
2011-03-02,179000,1000,0.56,175500,180500,175500,617981,1.1069E+11,3.94295E+13,220276479
2011-04-01,203500,500,0.25,204000,205000,199500,1260020,2.54815E+11,4.48263E+13,220276479
2011-05-02,254500,8000,3.25,245500,254500,244000,745198,1.85857E+11,5.60604E+13,220276479
2011-06-01,243500,-9000,-3.56,251500,257000,242000,1779898,4.43362E+11,5.36373E+13,220276479
2011-07-01,240500,3500,1.48,240000,242500,238000,657036,1.57913E+11,5.29765E+13,220276479
2011-08-01,235500,500,0.21,237500,240500,235000,966069,2.29702E+11,5.18751E+13,220276479
2011-09-01,202500,-500,-0.25,204000,209500,201000,1351885,2.79289E+11,4.4606E+13,220276479
2011-10-04,205000,-6000,-2.84,201000,206000,199500,1068125,2.16573E+11,4.51567E+13,220276479
2011-11-01,231500,4500,1.98,226000,236000,224000,1094587,2.54911E+11,5.0994E+13,220276479
2011-12-01,221500,8500,3.99,221500,225000,220000,849592,1.89454E+11,4.87912E+13,220276479
2012-01-02,212500,-500,-0.23,214000,215500,209500,255312,54110620000,4.68088E+13,220276479
2012-02-01,218500,-2500,-1.13,221000,223000,216000,881099,1.93654E+11,4.81304E+13,220276479
2012-03-02,220000,4000,1.85,222000,223500,220000,1030467,2.28861E+11,4.84608E+13,220276479
2012-04-02,240000,7000,3,233000,240500,233000,730663,1.74542E+11,5.28664E+13,220276479
2012-05-02,268000,-500,-0.19,269500,272500,266000,565984,1.51921E+11,5.90341E+13,220276479
2012-06-01,238000,-6000,-2.46,240500,244000,237500,481199,1.15773E+11,5.24258E+13,220276479
2012-07-02,235500,3000,1.29,236500,237500,234500,438405,1.03441E+11,5.18751E+13,220276479
2012-08-01,237500,500,0.21,237000,238500,234500,398964,94432537000,5.23157E+13,220276479
2012-09-03,241500,1000,0.42,240500,243500,238000,344816,83155780000,5.31968E+13,220276479
2012-10-02,246500,-5500,-2.18,247000,250000,245000,365743,90370338000,5.42982E+13,220276479
2012-11-01,216000,-8500,-3.79,220000,223500,211500,2325117,4.9991E+11,4.75797E+13,220276479
2012-12-03,228500,3000,1.33,228500,230500,227500,688310,1.56796E+11,5.03332E+13,220276479
2013-01-02,216000,-2500,-1.14,220500,220500,215000,696981,1.51022E+11,4.75797E+13,220276479
2013-02-01,206500,1500,0.73,207000,209500,205000,641848,1.32856E+11,4.54871E+13,220276479
2013-03-04,219500,1500,0.69,219500,222500,217000,805082,1.77361E+11,4.83507E+13,220276479
2013-04-01,222000,-2000,-0.89,224500,225000,220000,176622,39130504500,4.89014E+13,220276479
2013-05-02,197500,-2000,-1,199500,200500,197000,391487,77813912500,4.35046E+13,220276479
2013-06-03,214500,2000,0.94,211500,215000,211000,453925,96903334000,4.72493E+13,220276479
2013-07-01,223000,-2500,-1.11,224500,227000,220500,738188,1.65489E+11,4.91217E+13,220276479
2013-08-01,231500,-1000,-0.43,235000,235500,230500,386769,89951291000,5.0994E+13,220276479
2013-09-02,244500,-4500,-1.81,247000,248000,241000,535092,1.30529E+11,5.38576E+13,220276479
2013-10-01,254500,3500,1.39,251000,257000,250500,336561,85683999000,5.60604E+13,220276479
2013-11-01,254000,1000,0.4,251000,254500,249000,420032,1.0583E+11,5.59502E+13,220276479
2013-12-02,249500,-2500,-0.99,252000,253500,249000,209625,52603803000,5.4959E+13,220276479
2014-01-02,224500,-12000,-5.07,236500,238000,224500,720748,1.64142E+11,4.94521E+13,220276479
