일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/12/30","615000","-13000","-2.07","630000","630000","611000","243420","150091524733","43414290945000","70592343"
"2021/12/29","628000","-4000","-0.63","629000","632000","624000","161669","101629900000","44331991404000","70592343"
"2021/12/28","632000","5000","0.80","630000","633000","624000","181706","114313876000","44614360776000","70592343"
"2021/12/27","627000","6000","0.97","620000","632000","616000","147200","92254228000","44261399061000","70592343"
"2021/12/24","621000","-13000","-2.05","638000","640000","620000","292150","182536574000","43837845003000","70592343"
"2021/12/23","634000","9000","1.44","627000","635000","625000","273757","172475756500","44755545462000","70592343"
"2021/12/22","625000","-17000","-2.65","640000","645000","622000","522225","328516758000","44120214375000","70592343"
"2021/12/21","642000","-14000","-2.13","656000","658000","636000","503987","324008560963","45320284206000","70592343"
"2021/12/20","656000","-41000","-5.88","701000","702000","648000","556191","369623818000","46308577008000","70592343"
"2021/12/17","697000","-8000","-1.13","698000","703000","695000","231327","161222228000","49202863071000","70592343"
"2021/12/16","705000","9000","1.29","706000","714000","699000","226179","159833887000","49767601815000","70592343"
"2021/12/15","696000","-5000","-0.71","697000","703000","695000","228912","159595764000","49132270728000","70592343"
"2021/12/14","701000","-37000","-5.01","724000","729000","699000","436465","307748876000","49485232443000","70592343"
"2021/12/13","738000","-2000","-0.27","740000","745000","731000","217195","160015919000","52097149134000","70592343"
"2021/12/10","740000","-7000","-0.94","737000","746000","729000","267924","197157126798","52238333820000","70592343"
"2021/12/09","747000","-4000","-0.53","759000","764000","745000","371186","279214874280","52732480221000","70592343"
"2021/12/08","751000","40000","5.63","719000","754000","718000","463760","343964760000","53014849593000","70592343"
"2021/12/07","711000","-6000","-0.84","720000","726000","708000","173785","123962412250","50191155873000","70592343"
"2021/12/06","717000","0","0.00","722000","722000","706000","140266","100184642000","50614709931000","70592343"
"2021/12/03","717000","-10000","-1.38","727000","727000","711000","229502","164584226000","50614709931000","70592343"
"2021/12/02","727000","9000","1.25","734000","734000","711000","268812","193198236000","51320633361000","70592343"
"2021/12/01","718000","24000","3.46","702000","722000","696000","251126","178341459000","50685302274000","70592343"
"2021/11/30","694000","-18000","-2.53","709000","716000","694000","395074","276368651000","48991086042000","70592343"
"2021/11/29","712000","-9000","-1.25","715000","723000","710000","171460","122491570000","50261748216000","70592343"
"2021/11/26","721000","-18000","-2.44","734000","740000","720000","201250","146123759000","50897079303000","70592343"
"2021/11/25","739000","-8000","-1.07","741000","748000","737000","112764","83512290000","52167741477000","70592343"
"2021/11/24","747000","7000","0.95","747000","757000","740000","206853","154384328500","52732480221000","70592343"
