일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/12/30","378500","-3500","-0.92","381000","382000","376000","369314","139545143500","62092578672500","164049085"
"2021/12/29","382000","-2500","-0.65","389000","389000","382000","352409","135291963000","62666750470000","164049085"
"2021/12/28","384500","4000","1.05","380000","385500","378000","551228","210627496500","63076873182500","164049085"
"2021/12/27","380500","-3500","-0.91","384500","384500","380000","226757","86464326500","62420676842500","164049085"
"2021/12/24","384000","6000","1.59","378000","388000","378000","412695","158903133000","62994848640000","164049085"
"2021/12/23","378000","-500","-0.13","379500","380500","374500","354342","133398260000","62010554130000","164049085"
"2021/12/22","378500","3500","0.93","376000","380000","375500","263513","99579716500","62173695007500","164263395"
"2021/12/21","375000","2000","0.54","370000","379000","370000","480367","180307698500","61598773125000","164263395"
"2021/12/20","373000","-11500","-2.99","381500","383000","373000","630690","236773535000","61270246335000","164263395"
"2021/12/17","384500","-3000","-0.77","387000","387500","383500","505284","194506545500","63159275377500","164263395"
"2021/12/16","387500","0","0.00","389500","395500","384500","543865","210995288500","63652065562500","164263395"
"2021/12/15","387500","-4500","-1.15","387000","390000","387000","290339","112690573500","63652065562500","164263395"
"2021/12/14","392000","1500","0.38","388500","392500","387000","322068","125505998733","64391250840000","164263395"
"2021/12/13","390500","-4500","-1.14","398000","398000","390000","346330","136198351500","64144855747500","164263395"
"2021/12/10","395000","-4500","-1.13","394000","396500","393500","224452","88608836101","64884041025000","164263395"
"2021/12/09","399500","4500","1.14","397000","399500","394000","748143","297838445500","65623226302500","164263395"
"2021/12/08","395000","4000","1.02","395000","399500","394000","534080","205515508400","64884041025000","164263395"
"2021/12/07","391000","-1000","-0.26","390500","392500","388500","384366","149993774000","64226987445000","164263395"
"2021/12/06","392000","-10000","-2.49","400500","400500","389500","456773","179248848390","64391250840000","164263395"
"2021/12/03","402000","3500","0.88","397500","402000","394500","501099","200205381492","66033884790000","164263395"
"2021/12/02","398500","8500","2.18","382500","399000","382000","613006","241738341500","65458962907500","164263395"
"2021/12/01","390000","9000","2.36","385000","392500","382000","548840","212994149000","64062724050000","164263395"
"2021/11/30","381000","-5500","-1.42","391000","392500","381000","1103481","423327659500","62584353495000","164263395"
"2021/11/29","386500","-3000","-0.77","386500","391500","382500","457264","177251690500","63487802167500","164263395"
"2021/11/26","389500","-7500","-1.89","394000","395500","388000","473540","184919804500","63980592352500","164263395"
"2021/11/25","397000","2000","0.51","400000","401000","395500","323058","128517360000","65212567815000","164263395"
"2021/11/24","395000","-5000","-1.25","399000","401000","392000","554151","219240037500","64884041025000","164263395"
"2021/11/23","400000","-10000","-2.44","401000","405000","399500","682033","273486917252","65705358000000","164263395"
"2021/11/22","410000","6000","1.49","403000","411500","400500","555854","225800345500","67347991950000","164263395"
"2021/11/19","404000","-3000","-0.74","407000","410000","404000","415847","168843529500","66362411580000","164263395"
"2021/11/18","407000","6000","1.50","403500","413000","402000","729079","297628877000","66855201765000","164263395"
"2021/11/17","401000","-4500","-1.11","406000","406500","399000","540444","216815413500","65869621395000","164263395"
"2021/11/16","405500","-5500","-1.34","410000","412500","405000","490783","199916460802","66608806672500","164263395"
"2021/11/15","411000","2000","0.49","409000","412500","408000","331770","136229036500","67512255345000","164263395"
"2021/11/12","409000","2000","0.49","407500","412500","403500","412100","168322070000","67183728555000","164263395"
"2021/11/11","407000","-7500","-1.81","411000","413000","405000","566739","231045159500","66855201765000","164263395"
"2021/11/10","414500","-3000","-0.72","415500","419000","411000","414599","171906380000","68087177227500","164263395"
"2021/11/09","417500","9500","2.33","409500","419000","408500","542759","225068307000","68579967412500","164263395"
"2021/11/08","408000","-2500","-0.61","414500","415500","405500","365376","149424680000","67019465160000","164263395"
"2021/11/05","410500","-1000","-0.24","411500","415000","405000","309468","126495432000","67430123647500","164263395"
"2021/11/04","411500","9000","2.24","409500","415500","406500","537599","221701971000","67594387042500","164263395"
"2021/11/03","402500","-7500","-1.83","410000","411000","400000","366530","148046885000","66116016487500","164263395"
"2021/11/02","410000","1500","0.37","409500","414500","409000","352579","144799010500","67347991950000","164263395"
"2021/11/01","408500","1500","0.37","407000","411500","404000","337049","137638444000","67101596857500","164263395"
