일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/12/30","82200","-1200","-1.44","83300","83900","82100","1252096","103456529800","33320867123400","405363347"
"2021/12/29","83400","-1100","-1.30","83700","84100","83300","1061718","88756170800","33807303139800","405363347"
"2021/12/28","84500","-300","-0.35","85000","85200","83800","1209343","102068795172","34253202821500","405363347"
"2021/12/27","84800","-300","-0.35","85400","85800","84800","627895","53413803900","34374811825600","405363347"
"2021/12/24","85100","900","1.07","84700","85800","84500","1210818","103148042300","34496420829700","405363347"
"2021/12/23","84200","300","0.36","84500","84700","83700","834876","70220215946","34131593817400","405363347"
"2021/12/22","83900","700","0.84","83700","84800","83400","1002461","84090514700","34009984813300","405363347"
"2021/12/21","83200","300","0.36","83500","83600","82400","977687","81230683300","33726230470400","405363347"
"2021/12/20","82900","-1700","-2.01","84500","84500","82800","924100","77048184100","33604621466300","405363347"
"2021/12/17","84600","-1100","-1.28","84700","85800","84500","1300076","110372281900","34293739156200","405363347"
"2021/12/16","85700","1400","1.66","85400","86000","84400","1014992","86419976900","34739638837900","405363347"
"2021/12/15","84300","-1000","-1.17","84500","85300","84200","651974","55169360300","34172130152100","405363347"
"2021/12/14","85300","-700","-0.81","85200","86700","84700","1006657","86132525100","34577493499100","405363347"
"2021/12/13","86000","600","0.70","86500","88200","85900","2232198","194709064000","34861247842000","405363347"
"2021/12/10","85400","1300","1.55","83800","85900","83300","1690388","143806069400","34618029833800","405363347"
"2021/12/09","84100","900","1.08","82400","84800","82400","1774961","149129523059","34091057482700","405363347"
"2021/12/08","83200","-100","-0.12","84100","84300","83200","1343368","112505033200","33726230470400","405363347"
"2021/12/07","83300","-600","-0.72","83400","84200","82700","1436180","119925080700","33766766805100","405363347"
"2021/12/06","83900","1400","1.70","82200","84200","81800","1532396","127892606200","34009984813300","405363347"
"2021/12/03","82500","900","1.10","81900","83000","81500","1306187","107595410500","33442476127500","405363347"
"2021/12/02","81600","400","0.49","80200","81900","79500","1330373","107996970500","33077649115200","405363347"
"2021/12/01","81200","3400","4.37","79000","81500","78600","2028485","162749375400","32915503776400","405363347"
"2021/11/30","77800","-1400","-1.77","80500","80900","77600","2158288","169730866200","31537268396600","405363347"
"2021/11/29","79200","-1400","-1.74","78600","80400","78200","1758416","139560801300","32104777082400","405363347"
"2021/11/26","80600","-1800","-2.18","82400","82400","80500","1523245","123388550400","32672285768200","405363347"
"2021/11/25","82400","-1000","-1.20","83500","83600","82400","1103335","91268871900","33401939792800","405363347"
"2021/11/24","83400","-300","-0.36","83700","83900","82800","1249518","103972040400","33807303139800","405363347"
"2021/11/23","83700","-2000","-2.33","85400","86000","83700","1643812","138502588300","33928912143900","405363347"
"2021/11/22","85700","1900","2.27","84000","85900","83000","2198585","186669673600","34739638837900","405363347"
"2021/11/19","83800","700","0.84","84100","84800","83200","1398930","117358356600","33969448478600","405363347"
"2021/11/18","83100","-900","-1.07","84400","84400","83000","1480955","123636018400","33685694135700","405363347"
"2021/11/17","84000","-200","-0.24","84500","84700","83000","1630225","136669932900","34050521148000","405363347"
"2021/11/16","84200","-2300","-2.66","86100","86100","84000","2018714","170324931800","34131593817400","405363347"
"2021/11/15","86500","-300","-0.35","87000","87200","86000","1399503","121373892500","35063929515500","405363347"
"2021/11/12","86800","2900","3.46","84200","87200","84200","1452405","125262697500","35185538519600","405363347"
"2021/11/11","83900","-1600","-1.87","84500","85200","83600","1378687","115906658900","34009984813300","405363347"
"2021/11/10","85500","-1500","-1.72","86100","86500","85000","1077433","92279904900","34658566168500","405363347"
"2021/11/09","87000","-1100","-1.25","88300","88900","86200","1253140","109123086900","35266611189000","405363347"
"2021/11/08","88100","100","0.11","89000","89000","88000","1519360","134381105600","35712510870700","405363347"
"2021/11/05","88000","1000","1.15","88300","89400","87600","2934816","259648799258","35671974536000","405363347"
"2021/11/04","87000","2000","2.35","86000","87700","85500","1717408","149199497900","35266611189000","405363347"
"2021/11/03","85000","-1000","-1.16","87100","87100","84600","894542","76540012400","34455884495000","405363347"
"2021/11/02","86000","1700","2.02","84300","86100","83700","1381762","118191740100","34861247842000","405363347"
"2021/11/01","84300","-800","-0.94","84800","85400","84200","923058","78090006800","34172130152100","405363347"
"2021/10/29","85100","-900","-1.05","87500","87500","84100","1924048","165162912200","34496420829700","405363347"
"2021/10/28","86000","1000","1.18","86100","88000","85600","3809314","331686366800","34861247842000","405363347"
"2021/10/27","85000","200","0.24","85000","86400","84500","1589682","135702620700","34455884495000","405363347"
"2021/10/26","84800","500","0.59","84900","85100","83500","1023323","86230349300","34374811825600","405363347"
"2021/10/25","84300","900","1.08","83100","84700","82100","1033710","86775582600","34172130152100","405363347"
"2021/10/22","83400","-200","-0.24","83700","84600","83100","675792","56673126300","33807303139800","405363347"
"2021/10/21","83600","-200","-0.24","84300","85300","83200","1361082","114643431400","33888375809200","405363347"
"2021/10/20","83800","-500","-0.59","84400","85900","83800","1326165","112380507900","33969448478600","405363347"
"2021/10/19","84300","100","0.12","84400","84900","84000","810372","68482923200","34172130152100","405363347"
"2021/10/18","84200","400","0.48","83600","84400","82200","1323600","110860839900","34131593817400","405363347"
"2021/10/15","83800","-300","-0.36","84200","84800","83200","862972","72368396500","33969448478600","405363347"
