일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/12/30","655000","-8000","-1.21","657000","660000","651000","147850","96857334000","45040767150000","68764530"
"2021/12/29","663000","12000","1.84","660000","667000","655000","238556","157363842000","45590883390000","68764530"
"2021/12/28","651000","7000","1.09","647000","651000","640000","229379","147893129000","44765709030000","68764530"
"2021/12/27","644000","-7000","-1.08","651000","651000","642000","129558","83744986000","44284357320000","68764530"
"2021/12/24","651000","8000","1.24","648000","662000","646000","215205","140816272000","44765709030000","68764530"
"2021/12/23","643000","11000","1.74","641000","646000","638000","259442","166525691000","44215592790000","68764530"
"2021/12/22","632000","-13000","-2.02","646000","649000","629000","368128","233987792000","43459182960000","68764530"
"2021/12/21","645000","-9000","-1.38","653000","654000","628000","444824","285111279000","44353121850000","68764530"
"2021/12/20","654000","-26000","-3.82","675000","676000","653000","352862","232954215920","44972002620000","68764530"
"2021/12/17","680000","-3000","-0.44","671000","686000","671000","242779","164941110000","46759880400000","68764530"
"2021/12/16","683000","9000","1.34","680000","691000","678000","223939","153170262000","46966173990000","68764530"
"2021/12/15","674000","-6000","-0.88","674000","678000","661000","327141","218429572000","46347293220000","68764530"
"2021/12/14","680000","-23000","-3.27","697000","698000","680000","293090","200874445500","46759880400000","68764530"
"2021/12/13","703000","-6000","-0.85","709000","720000","702000","159194","113053453000","48341464590000","68764530"
"2021/12/10","709000","1000","0.14","705000","711000","697000","183639","129313506000","48754051770000","68764530"
"2021/12/09","708000","-2000","-0.28","714000","717000","705000","313022","222294351000","48685287240000","68764530"
"2021/12/08","710000","19000","2.75","700000","719000","695000","264783","188446001000","48822816300000","68764530"
"2021/12/07","691000","-7000","-1.00","701000","702000","684000","172060","118706519000","47516290230000","68764530"
"2021/12/06","698000","6000","0.87","692000","703000","683000","162519","112880853000","47997641940000","68764530"
"2021/12/03","692000","7000","1.02","682000","699000","681000","260528","179877759500","47585054760000","68764530"
"2021/12/02","685000","-8000","-1.15","688000","696000","680000","291867","200150670193","47103703050000","68764530"
"2021/12/01","693000","5000","0.73","694000","698000","680000","226286","156236476000","47653819290000","68764530"
"2021/11/30","688000","-21000","-2.96","712000","717000","678000","393152","272582829227","47309996640000","68764530"
"2021/11/29","709000","-4000","-0.56","702000","711000","692000","200712","141192915000","48754051770000","68764530"
"2021/11/26","713000","-2000","-0.28","709000","725000","706000","192567","138104740000","49029109890000","68764530"
"2021/11/25","715000","-15000","-2.05","728000","730000","714000","203331","145930603000","49166638950000","68764530"
"2021/11/24","730000","-7000","-0.95","732000","738000","721000","196196","142883804500","50198106900000","68764530"
"2021/11/23","737000","-9000","-1.21","745000","745000","726000","207435","152354323000","50679458610000","68764530"
"2021/11/22","746000","-11000","-1.45","752000","752000","737000","215487","159902014000","51298339380000","68764530"
"2021/11/19","757000","-6000","-0.79","761000","761000","751000","187552","141822237000","52054749210000","68764530"
"2021/11/18","763000","1000","0.13","757000","763000","753000","148534","112623640000","52467336390000","68764530"
"2021/11/17","762000","2000","0.26","768000","772000","757000","164395","125397551000","52398571860000","68764530"
"2021/11/16","760000","6000","0.80","754000","765000","752000","201440","152889402000","52261042800000","68764530"
"2021/11/15","754000","3000","0.40","758000","759000","747000","124345","93541736000","51848455620000","68764530"
