일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/12/30","112500","-1500","-1.32","114000","114500","112500","1223078","138291920500","50150798662500","445784877"
"2021/12/29","114000","500","0.44","115500","117500","114000","1791503","206460751500","50819475978000","445784877"
"2021/12/28","113500","500","0.44","113000","114000","113000","2370856","268720450500","50596583539500","445784877"
"2021/12/27","113000","-1500","-1.31","114000","114500","113000","1116701","126641332500","50373691101000","445784877"
"2021/12/24","114500","1500","1.33","113000","115000","112500","1484508","169716783500","51042368416500","445784877"
"2021/12/23","113000","-1500","-1.31","114500","115000","113000","1113550","126300099000","50373691101000","445784877"
"2021/12/22","114500","0","0.00","115000","115500","113500","1036505","118464055000","51042368416500","445784877"
"2021/12/21","114500","1500","1.33","112500","115000","112500","1366889","155956846000","51042368416500","445784877"
"2021/12/20","113000","-4500","-3.83","116500","117000","113000","2989796","341466027000","50373691101000","445784877"
"2021/12/17","117500","-2000","-1.67","118000","119000","117500","1265074","149132339000","52379723047500","445784877"
"2021/12/16","119500","1000","0.84","119500","120500","118500","1168717","139493427000","53271292801500","445784877"
"2021/12/15","118500","0","0.00","117500","119000","117000","1070223","126395454788","52825507924500","445784877"
"2021/12/14","118500","-1500","-1.25","118500","119000","117000","1718411","202834440000","52825507924500","445784877"
"2021/12/13","120000","-2500","-2.04","123000","123000","120000","1405089","170280657000","53494185240000","445784877"
"2021/12/10","122500","0","0.00","122000","122500","121000","974383","118661540500","54608647432500","445784877"
"2021/12/09","122500","1500","1.24","120500","122500","120000","2338843","284015537000","54598035135000","445698246"
"2021/12/08","121000","500","0.41","121500","123500","120500","2288195","275073170500","53929487766000","445698246"
"2021/12/07","120500","-500","-0.41","121500","122000","120000","1218740","147147158500","53706638643000","445698246"
"2021/12/06","121000","-2500","-2.02","122500","122500","120500","1477396","178901497500","53929487766000","445698246"
"2021/12/03","123500","1000","0.82","122000","124000","121500","1488902","183261771500","55043733381000","445698246"
"2021/12/02","122500","0","0.00","121500","123000","120000","2028101","246208117000","54598035135000","445698246"
"2021/12/01","122500","500","0.41","121500","123500","121000","1482581","181341267500","54598035135000","445698246"
"2021/11/30","122000","-1000","-0.81","124000","124500","121500","3807209","466140385500","54375186012000","445698246"
"2021/11/29","123000","-2500","-1.99","123000","125500","122000","2031484","251298499500","54820884258000","445698246"
"2021/11/26","125500","-2500","-1.95","127500","128500","125000","1679040","212173730500","55935129873000","445698246"
"2021/11/25","128000","3500","2.81","125000","128500","124500","2906344","369215105000","57049375488000","445698246"
"2021/11/24","124500","0","0.00","124500","125500","123500","1589036","197477001000","55489431627000","445698246"
"2021/11/23","124500","-4000","-3.11","127500","128000","124000","1981200","248411655500","55489431627000","445698246"
"2021/11/22","128500","1500","1.18","127000","129000","125500","2213290","282268984000","57272224611000","445698246"
"2021/11/19","127000","2500","2.01","125000","127500","124500","1512294","191220365500","56603677242000","445698246"
"2021/11/18","124500","-500","-0.40","125000","126000","123000","1543924","192481970000","55489431627000","445698246"
"2021/11/17","125000","-2500","-1.96","128000","129000","125000","1675657","210978235500","55712280750000","445698246"
"2021/11/16","127500","-1500","-1.16","129000","130000","127000","1591390","203309516500","56826526365000","445698246"
"2021/11/15","129000","2000","1.57","127000","129500","127000","1714170","220449763000","57495073734000","445698246"
"2021/11/12","127000","1500","1.20","126000","128000","124500","2100660","266586690500","56603677242000","445698246"
"2021/11/11","125500","1500","1.21","123000","125500","121500","1955371","242255133000","55892845660000","445361320"
"2021/11/10","124000","-1500","-1.20","125500","127500","123500","1598893","199892576000","55224803680000","445361320"
"2021/11/09","125500","500","0.40","124500","127000","124500","1990889","249729747500","55892845660000","445361320"
"2021/11/08","125000","-3500","-2.72","128500","128500","123000","4026899","502531943500","55670165000000","445361320"
"2021/11/05","128500","-1500","-1.15","131000","131000","126500","2810726","360896946500","57228929620000","445361320"
"2021/11/04","130000","5500","4.42","126000","130500","125500","6001098","774890051500","57896971600000","445361320"
"2021/11/03","124500","-3500","-2.73","128000","128500","123500","2937805","368941931500","55447484340000","445361320"
"2021/11/02","128000","2500","1.99","126000","128500","126000","1642378","209732706000","57006248960000","445361320"
"2021/11/01","125500","0","0.00","126000","127000","125000","1081519","135944942000","55892845660000","445361320"
"2021/10/29","125500","0","0.00","125500","126500","123000","1891355","236136054840","55892845660000","445361320"
"2021/10/28","125500","-3000","-2.33","129000","130000","125000","1783396","226971166000","55892845660000","445361320"
"2021/10/27","128500","1000","0.78","128000","129000","126500","1449071","185288878500","57228929620000","445361320"
"2021/10/26","127500","1500","1.19","126000","128000","126000","1265299","160924213500","56783568300000","445361320"
"2021/10/25","126000","-1500","-1.18","126500","127500","123500","2309608","289843501500","56115526320000","445361320"
"2021/10/22","127500","-500","-0.39","128000","129500","125500","1985417","251841413500","56783568300000","445361320"
"2021/10/21","128000","0","0.00","128500","130000","127500","2297507","295903743500","57006248960000","445361320"
"2021/10/20","128000","500","0.39","129500","130500","127000","4959740","638092300500","57006248960000","445361320"
"2021/10/19","127500","6000","4.94","123000","127500","121500","4075027","509756077200","56783568300000","445361320"
