일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2021/12/30","209000","-3000","-1.42","211500","212000","208500","581448","122059514500","44656651083000","213668187"
"2021/12/29","212000","-2000","-0.93","213000","215000","211500","659392","140427239500","45297655644000","213668187"
"2021/12/28","214000","500","0.23","215000","215000","211500","880326","187741995500","45724992018000","213668187"
"2021/12/27","213500","-2000","-0.93","216500","217000","213500","530039","114111057000","45618157924500","213668187"
"2021/12/24","215500","6500","3.11","210500","216500","210500","1024355","219906037725","46045494298500","213668187"
"2021/12/23","209000","2500","1.21","208000","209000","207000","372738","77657491500","44656651083000","213668187"
"2021/12/22","206500","1500","0.73","207000","209500","205500","480545","99493015000","44122480615500","213668187"
"2021/12/21","205000","0","0.00","206000","207500","204000","548609","112834290000","43801978335000","213668187"
"2021/12/20","205000","-4500","-2.15","209000","209500","204500","542620","111756485500","43801978335000","213668187"
"2021/12/17","209500","0","0.00","208500","211500","208000","623863","131088032500","44763485176500","213668187"
"2021/12/16","209500","500","0.24","211500","212000","208000","457620","95837776000","44763485176500","213668187"
"2021/12/15","209000","-2000","-0.95","210500","211500","208500","436219","91325416000","44656651083000","213668187"
"2021/12/14","211000","2000","0.96","208000","212000","207500","499536","104999352000","45083987457000","213668187"
"2021/12/13","209000","1500","0.72","210000","214000","209000","877690","186026541500","44656651083000","213668187"
"2021/12/10","207500","500","0.24","207000","209500","205500","443350","91945845500","44336148802500","213668187"
"2021/12/09","207000","-500","-0.24","207000","210000","206500","775215","161068910500","44229314709000","213668187"
"2021/12/08","207500","0","0.00","210000","211000","207000","502904","105182024500","44336148802500","213668187"
"2021/12/07","207500","1000","0.48","206000","208000","204000","501624","103518135500","44336148802500","213668187"
"2021/12/06","206500","500","0.24","204500","208000","202500","503652","103613066500","44122480615500","213668187"
"2021/12/03","206000","500","0.24","205500","208000","204500","514358","106166005500","44015646522000","213668187"
"2021/12/02","205500","4500","2.24","198500","206000","198000","782923","159128828000","43908812428500","213668187"
"2021/12/01","201000","5500","2.81","198500","202000","196500","741594","148026297000","42947305587000","213668187"
"2021/11/30","195500","-5000","-2.49","202000","203500","194500","1313581","260036120500","41772130558500","213668187"
"2021/11/29","200500","-5000","-2.43","199500","203500","199500","901640","181686334500","42840471493500","213668187"
"2021/11/26","205500","-4500","-2.14","209500","210000","204000","901184","185762708000","43908812428500","213668187"
"2021/11/25","210000","-2000","-0.94","212500","212500","210000","414037","87414092500","44870319270000","213668187"
"2021/11/24","212000","-3000","-1.40","215500","216000","211000","652274","138547753000","45297655644000","213668187"
"2021/11/23","215000","-3500","-1.60","219000","219500","213500","818782","176395712000","45938660205000","213668187"
"2021/11/22","218500","9000","4.30","209500","220000","207500","1620439","350306172500","46686498859500","213668187"
"2021/11/19","209500","4500","2.20","211500","212500","208000","829314","174108389500","44763485176500","213668187"
"2021/11/18","205000","-2000","-0.97","205500","206500","204000","562783","115703230000","43801978335000","213668187"
"2021/11/17","207000","500","0.24","206500","209000","203000","715192","147041821000","44229314709000","213668187"
"2021/11/16","206500","-2500","-1.20","208000","208000","205000","515194","106237104500","44122480615500","213668187"
"2021/11/15","209000","1000","0.48","208000","210000","207000","377424","78785442500","44656651083000","213668187"
"2021/11/12","208000","3000","1.46","205000","209500","205000","415172","86372910000","44442982896000","213668187"
"2021/11/11","205000","-3500","-1.68","205500","206500","203500","710080","145402923000","43801978335000","213668187"
"2021/11/10","208500","-4500","-2.11","211000","211500","206500","680033","141704830000","44549816989500","213668187"
"2021/11/09","213000","-2000","-0.93","216000","217000","212000","620316","132466916500","45511323831000","213668187"
"2021/11/08","215000","0","0.00","214500","216500","212500","532328","114165998000","45938660205000","213668187"
"2021/11/05","215000","1000","0.47","216500","217000","214000","686779","147781543500","45938660205000","213668187"
"2021/11/04","214000","5500","2.64","211000","216000","210000","1122870","240371303000","45724992018000","213668187"
"2021/11/03","208500","-1500","-0.71","211000","212000","207000","476081","99316887500","44549816989500","213668187"
"2021/11/02","210000","2000","0.96","208000","211500","207500","417645","87725718000","44870319270000","213668187"
"2021/11/01","208000","0","0.00","208000","209500","207000","395091","82277148000","44442982896000","213668187"
"2021/10/29","208000","-2000","-0.95","211500","212500","206500","667275","139296563500","44442982896000","213668187"
"2021/10/28","210000","-3500","-1.64","213000","214000","209500","633732","134006098500","44870319270000","213668187"
"2021/10/27","213500","0","0.00","214500","215000","212500","606729","129785935500","45618157924500","213668187"
"2021/10/26","213500","2500","1.18","213000","214500","209000","782736","165900938500","45618157924500","213668187"
"2021/10/25","211000","3500","1.69","207500","212000","206000","649860","136728122500","45083987457000","213668187"
"2021/10/22","207500","0","0.00","207000","209500","206000","362676","75290566000","44336148802500","213668187"
"2021/10/21","207500","-1500","-0.72","209500","211000","206000","775441","161446273000","44336148802500","213668187"
"2021/10/20","209000","0","0.00","210000","211000","208000","472664","98990986000","44656651083000","213668187"
"2021/10/19","209000","-500","-0.24","210500","212000","208000","428739","89829336000","44656651083000","213668187"
"2021/10/18","209500","1000","0.48","208000","210500","205000","607227","126640612500","44763485176500","213668187"
"2021/10/15","208500","-500","-0.24","210500","211500","208000","530328","110813043500","44549816989500","213668187"
"2021/10/14","209000","-2000","-0.95","211500","212000","208000","863110","180700176500","44656651083000","213668187"
"2021/10/13","211000","6500","3.18","206500","211500","206500","1169924","245664493000","45083987457000","213668187"
"2021/10/12","204500","-500","-0.24","205000","206500","202000","820163","167375105000","43695144241500","213668187"
"2021/10/08","205000","4000","1.99","203500","206500","202500","993219","203380363000","43801978335000","213668187"
"2021/10/07","201000","7000","3.61","194500","203000","194500","1066226","211714691000","42947305587000","213668187"
"2021/10/06","194000","500","0.26","195000","197500","192500","913916","178119638500","41451628278000","213668187"
"2021/10/05","193500","0","0.00","191000","195000","189000","1056472","202638659005","41344794184500","213668187"
"2021/10/01","193500","-6500","-3.25","198000","199000","192000","1182422","229855859000","41344794184500","213668187"
"2021/09/30","200000","-1500","-0.74","200000","201000","199000","594666","118839397500","42733637400000","213668187"
"2021/09/29","201500","0","0.00","197500","202000","197500","934463","186654009000","43054139680500","213668187"
"2021/09/28","201500","-2500","-1.23","204000","204000","200500","719631","145140151500","43054139680500","213668187"
"2021/09/27","204000","-3000","-1.45","205000","206000","203500","584898","119599467500","43588310148000","213668187"
"2021/09/24","207000","-1500","-0.72","209500","210500","206000","413926","85796261500","44229314709000","213668187"
"2021/09/23","208500","-500","-0.24","205000","209000","204500","525020","108593449500","44549816989500","213668187"
"2021/09/17","209000","1000","0.48","208000","210000","207000","698398","145613958000","44656651083000","213668187"
"2021/09/16","208000","-1500","-0.72","210000","211000","206500","416275","86594341000","44442982896000","213668187"
"2021/09/15","209500","500","0.24","208000","211500","208000","472855","99211076500","44763485176500","213668187"
"2021/09/14","209000","4000","1.95","206500","211500","206000","721080","151199404000","44656651083000","213668187"
"2021/09/13","205000","-1500","-0.73","206500","206500","204000","590609","121012037000","43801978335000","213668187"
"2021/09/10","206500","-2000","-0.96","208500","209500","204000","678308","139653476000","44122480615500","213668187"
"2021/09/09","208500","-4500","-2.11","212500","212500","208000","780270","163271993000","44549816989500","213668187"
"2021/09/08","213000","500","0.24","210500","214500","210000","593084","126065413000","45511323831000","213668187"
"2021/09/07","212500","-2500","-1.16","214500","214500","211500","434105","92132619500","45404489737500","213668187"
"2021/09/06","215000","500","0.23","214500","216000","213500","389587","83569958500","45938660205000","213668187"
"2021/09/03","214500","3000","1.42","213000","215500","212000","739961","158586731328","45831826111500","213668187"
"2021/09/02","211500","-3500","-1.63","214000","215000","210000","656283","138804871500","45190821550500","213668187"
"2021/09/01","215000","2500","1.18","214000","218500","213500","855937","184645640000","45938660205000","213668187"
