일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/11/17","700000","-7000","-0.99","704000","712000","697000","129482","90884927000","49414640100000","70592343"
"2022/11/16","707000","-3000","-0.42","700000","713000","690000","288503","202398122616","49908786501000","70592343"
"2022/11/15","710000","-16000","-2.20","735000","740000","703000","317416","226915479000","50120563530000","70592343"
"2022/11/14","726000","-11000","-1.49","740000","760000","725000","261052","192447409000","51250041018000","70592343"
"2022/11/11","737000","42000","6.04","730000","744000","724000","304326","223654762000","52026556791000","70592343"
"2022/11/10","695000","-20000","-2.80","706000","717000","695000","244047","171476181000","49061678385000","70592343"
"2022/11/09","715000","24000","3.47","692000","717000","684000","259082","183395244000","50473525245000","70592343"
"2022/11/08","691000","-13000","-1.85","703000","704000","676000","275840","189529183000","48779309013000","70592343"
"2022/11/07","704000","14000","2.03","693000","704000","686000","227579","158564834000","49697009472000","70592343"
"2022/11/04","690000","7000","1.02","679000","692000","674000","228545","156323732000","48708716670000","70592343"
"2022/11/03","683000","11000","1.64","660000","691000","659000","280224","189866470000","48214570269000","70592343"
"2022/11/02","672000","-23000","-3.31","696000","705000","662000","406352","276271209000","47438054496000","70592343"
"2022/11/01","695000","69000","11.02","633000","700000","632000","542234","363132566000","49061678385000","70592343"
"2022/10/31","626000","11000","1.79","627000","627000","609000","742102","462452788000","44190806718000","70592343"
"2022/10/28","615000","16000","2.67","593000","624000","588000","382546","233860045000","43414290945000","70592343"
"2022/10/27","599000","37000","6.58","572000","600000","570000","368746","216106251000","42284813457000","70592343"
"2022/10/26","562000","10000","1.81","557000","571000","555000","377920","213463910000","39672896766000","70592343"
"2022/10/25","552000","-23000","-4.00","576000","576000","550000","394043","219667521000","38966973336000","70592343"
"2022/10/24","575000","7000","1.23","579000","590000","569000","223220","129121069000","40590597225000","70592343"
"2022/10/21","568000","-1000","-0.18","570000","580000","562000","215837","122718164000","40096450824000","70592343"
"2022/10/20","569000","-24000","-4.05","588000","589000","565000","331791","189843862000","40167043167000","70592343"
"2022/10/19","593000","-18000","-2.95","581000","607000","573000","373510","221719753725","41861259399000","70592343"
"2022/10/18","611000","36000","6.26","586000","614000","585000","252952","151871046000","43131921573000","70592343"
"2022/10/17","575000","2000","0.35","565000","577000","553000","204701","116323317164","40590597225000","70592343"
"2022/10/14","573000","-2000","-0.35","583000","588000","571000","202716","117324829000","40449412539000","70592343"
"2022/10/13","575000","-16000","-2.71","596000","602000","575000","179628","104318964000","40590597225000","70592343"
"2022/10/12","591000","-6000","-1.01","588000","593000","576000","223909","130717589000","41720074713000","70592343"
"2022/10/11","597000","8000","1.36","584000","597000","577000","182433","107535773000","42143628771000","70592343"
"2022/10/07","589000","6000","1.03","575000","593000","569000","226552","132295505000","41578890027000","70592343"
"2022/10/06","583000","23000","4.11","563000","590000","559000","271926","157063618000","41155335969000","70592343"
"2022/10/05","560000","5000","0.90","562000","570000","551000","277111","155144151291","39531712080000","70592343"
"2022/10/04","555000","19000","3.54","546000","558000","535000","243185","133527276268","39178750365000","70592343"
"2022/09/30","536000","-11000","-2.01","539000","554000","534000","195616","105464104000","37837495848000","70592343"
"2022/09/29","547000","1000","0.18","550000","561000","542000","238292","131637644000","38614011621000","70592343"
"2022/09/28","546000","-23000","-4.04","564000","567000","543000","268783","148106964000","38543419278000","70592343"
"2022/09/27","569000","-2000","-0.35","571000","578000","560000","198596","112809270000","40167043167000","70592343"
"2022/09/26","571000","-33000","-5.46","591000","592000","568000","228945","132009451000","40308227853000","70592343"
"2022/09/23","604000","-22000","-3.51","623000","623000","599000","170878","103848033000","42637775172000","70592343"
"2022/09/22","626000","1000","0.16","611000","628000","609000","169181","104876673500","44190806718000","70592343"
