일자,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"2022/11/17","61400","-1300","-2.07","62000","62000","61300","13268422","817280284400","366544648570000","5969782550"
"2022/11/16","62700","300","0.48","62400","62700","61700","12909260","804219667250","374305365885000","5969782550"
"2022/11/15","62400","500","0.81","62200","62500","61600","12310986","764117239743","372514431120000","5969782550"
"2022/11/14","61900","-1000","-1.59","62900","62900","61700","15973416","993352234080","369529539845000","5969782550"
"2022/11/11","62900","2500","4.14","63100","63200","62300","20037163","1257129641861","375499322395000","5969782550"
"2022/11/10","60400","-1600","-2.58","61400","61500","60400","21087633","1283005045328","360574866020000","5969782550"
"2022/11/09","62000","200","0.32","62000","62200","61300","14045592","869644724000","370126518100000","5969782550"
"2022/11/08","61800","1600","2.66","60500","61900","60500","18273898","1123976801804","368932561590000","5969782550"
"2022/11/07","60200","800","1.35","59700","60300","59400","12437246","747350127100","359380909510000","5969782550"
"2022/11/04","59400","200","0.34","59100","59500","58400","12445841","734525784600","354605083470000","5969782550"
"2022/11/03","59200","-400","-0.67","58600","59800","58100","17492162","1029199659366","353411126960000","5969782550"
"2022/11/02","59600","-400","-0.67","59700","60000","59300","13202919","787057605000","355799039980000","5969782550"
"2022/11/01","60000","600","1.01","59900","60300","59500","17201647","1030380927406","358186953000000","5969782550"
"2022/10/31","59400","2100","3.66","58100","59900","58000","18999514","1126467842000","354605083470000","5969782550"
"2022/10/28","57300","-2200","-3.70","58900","59200","57200","20924937","1213293156195","342068540115000","5969782550"
"2022/10/27","59500","100","0.17","59700","60100","58900","21756712","1296030977930","355202061725000","5969782550"
"2022/10/26","59400","1700","2.95","58000","59600","57700","20824967","1227076491560","354605083470000","5969782550"
"2022/10/25","57700","200","0.35","57000","58600","57000","17405678","1009512119302","344456453135000","5969782550"
"2022/10/24","57500","1600","2.86","57000","57500","56700","16944503","968892104300","343262496625000","5969782550"
"2022/10/21","55900","400","0.72","55100","56300","55100","11456060","640343092816","333710844545000","5969782550"
"2022/10/20","55500","-300","-0.54","55200","56000","55100","17107653","949265250905","331322931525000","5969782550"
"2022/10/19","55800","-700","-1.24","56700","56900","55700","12660652","710947532900","333113866290000","5969782550"
"2022/10/18","56500","-100","-0.18","56700","57100","55800","14820702","835744764000","337292714075000","5969782550"
"2022/10/17","56600","300","0.53","55800","57000","55700","13641878","769638197200","337889692330000","5969782550"
"2022/10/14","56300","1100","1.99","56200","56500","55800","12924326","726962989400","336098757565000","5969782550"
"2022/10/13","55200","-600","-1.08","55400","56100","55200","13784602","765435187900","329531996760000","5969782550"
"2022/10/12","55800","400","0.72","55700","57000","55200","18408910","1032656163200","333113866290000","5969782550"
"2022/10/11","55400","-800","-1.42","54400","55700","54000","21437877","1172168853325","330725953270000","5969782550"
"2022/10/07","56200","-100","-0.18","55900","56900","55200","16886813","949027146468","335501779310000","5969782550"
"2022/10/06","56300","300","0.54","56700","57300","56300","14944446","848081763100","336098757565000","5969782550"
"2022/10/05","56000","800","1.45","56900","57200","55400","22458970","1261934048318","334307822800000","5969782550"
"2022/10/04","55200","2100","3.95","55300","55400","54500","19148435","1056852669700","329531996760000","5969782550"
"2022/09/30","53100","500","0.95","52300","53600","51800","22503249","1187343660500","316995453405000","5969782550"
"2022/09/29","52600","-300","-0.57","53300","53700","52600","13882080","737730681500","314010562130000","5969782550"
"2022/09/28","52900","-1300","-2.40","53900","54400","52500","19991129","1064665579214","315801496895000","5969782550"
"2022/09/27","54200","300","0.56","53800","54200","53500","16631289","897144417709","323562214210000","5969782550"
"2022/09/26","53900","-600","-1.10","53700","54200","53600","15008449","807353273300","321771279445000","5969782550"
"2022/09/23","54500","100","0.18","54400","54900","54200","10555964","575503622100","325353148975000","5969782550"
"2022/09/22","54400","-900","-1.63","54600","54700","54300","12786510","696058101600","324756170720000","5969782550"
"2022/09/21","55300","-500","-0.90","55400","55500","55000","11863700","655017421100","330128975015000","5969782550"
"2022/09/20","55800","-600","-1.06","56400","57000","55800","14041465","788331519815","333113866290000","5969782550"
"2022/09/19","56400","200","0.36","56300","57000","56000","12278653","693636680000","336695735820000","5969782550"
"2022/09/16","56200","200","0.36","55600","56400","55500","13456503","752455682838","335501779310000","5969782550"
"2022/09/15","56000","-800","-1.41","57000","57100","56000","11664819","657641711500","334307822800000","5969782550"
"2022/09/14","56800","-1300","-2.24","56200","57200","56100","12524961","709906007000","339083648840000","5969782550"
"2022/09/13","58100","2500","4.50","57000","58500","56800","17166581","991015891355","346844366155000","5969782550"
"2022/09/08","55600","-400","-0.71","56200","56400","55600","18000016","1006366398000","331919909780000","5969782550"
"2022/09/07","56000","-1100","-1.93","56700","56700","55900","17384854","975695179700","334307822800000","5969782550"
"2022/09/06","57100","0","0.00","57200","57600","56900","7503086","429152038700","340874583605000","5969782550"
"2022/09/05","57100","-400","-0.70","57400","57800","56800","11425977","653884056584","340874583605000","5969782550"
"2022/09/02","57500","-900","-1.54","58300","58600","57500","15040310","872040367551","343262496625000","5969782550"
"2022/09/01","58400","-1300","-2.18","58700","58900","58300","14905777","872374620601","348635300920000","5969782550"
"2022/08/31","59700","900","1.53","58200","59900","58200","14203512","841319635900","356396018235000","5969782550"
"2022/08/30","58800","200","0.34","58700","59000","58300","9690044","567627668500","351023213940000","5969782550"
"2022/08/29","58600","-1400","-2.33","58700","58900","58600","9841329","577684200900","349829257430000","5969782550"
"2022/08/26","60000","300","0.50","60300","60900","59900","9499995","573040309950","358186953000000","5969782550"
"2022/08/25","59700","700","1.19","59200","59700","59000","5767902","342780937200","356396018235000","5969782550"
"2022/08/24","59000","-100","-0.17","59200","59500","59000","8888486","525406965200","352217170450000","5969782550"
"2022/08/23","59100","-900","-1.50","59000","59600","59000","9041629","535657353300","352814148705000","5969782550"
"2022/08/22","60000","-900","-1.48","60300","60400","59800","8259865","495732266100","358186953000000","5969782550"
"2022/08/19","60900","-600","-0.98","61400","61600","60600","6923679","421908759900","363559757295000","5969782550"
"2022/08/18","61500","1100","1.82","60300","61900","60000","16372754","997986949000","367141626825000","5969782550"
"2022/08/17","60400","-600","-0.98","61100","61200","60300","9061518","550059085700","360574866020000","5969782550"
"2022/08/16","61000","800","1.33","60500","61600","60300","15036727","917516142200","364156735550000","5969782550"
"2022/08/12","60200","300","0.50","59500","60700","59400","10786658","648793200100","359380909510000","5969782550"
"2022/08/11","59900","800","1.35","59600","60000","59300","15141941","903738904000","357589974745000","5969782550"
"2022/08/10","59100","-900","-1.50","58900","59200","58600","18084349","1065592854894","352814148705000","5969782550"
"2022/08/09","60000","-800","-1.32","60600","60700","59600","18251170","1094260322600","358186953000000","5969782550"
"2022/08/08","60800","-700","-1.14","61400","61400","60600","11313150","689020306900","362962779040000","5969782550"
"2022/08/05","61500","0","0.00","61700","61900","61200","9567620","588582544800","367141626825000","5969782550"
"2022/08/04","61500","200","0.33","61700","61800","61200","9125439","561835808800","367141626825000","5969782550"
"2022/08/03","61300","-400","-0.65","61600","61600","61000","10053861","615480978400","365947670315000","5969782550"
"2022/08/02","61700","400","0.65","61200","61900","61000","13614895","837567187000","368335583335000","5969782550"
"2022/08/01","61300","-100","-0.16","61000","61700","60300","13154816","803034710500","365947670315000","5969782550"
"2022/07/29","61400","-500","-0.81","62400","62600","61300","15093120","932917972000","366544648570000","5969782550"
"2022/07/28","61900","100","0.16","62300","62600","61600","10745302","667085256100","369529539845000","5969782550"
"2022/07/27","61800","100","0.16","61300","61900","61200","7320997","449989960800","368932561590000","5969782550"
"2022/07/26","61700","600","0.98","60800","61900","60800","6597211","405310045900","368335583335000","5969782550"
"2022/07/25","61100","-200","-0.33","60900","61900","60800","9193681","565540190900","364753713805000","5969782550"
