카테고리: 모든 카테고리

월,SK하이닉스: (대한민국)
2011-01,55
2011-02,32
2011-03,48
2011-04,64
2011-05,52
2011-06,63
2011-07,78
2011-08,96
2011-09,100
2011-10,77
2011-11,96
2011-12,54
2012-01,60
2012-02,68
2012-03,69
2012-04,58
2012-05,44
2012-06,36
2012-07,33
2012-08,33
2012-09,41
2012-10,34
2012-11,37
2012-12,27
2013-01,29
2013-02,32
2013-03,34
2013-04,28
2013-05,28
2013-06,33
2013-07,37
2013-08,30
2013-09,38
2013-10,37
2013-11,29
2013-12,37
2014-01,39
2014-02,33
2014-03,25
2014-04,24
2014-05,23
2014-06,27
2014-07,33
2014-08,41
2014-09,22
2014-10,18
2014-11,22
2014-12,18
2015-01,21
2015-02,20
2015-03,23
2015-04,27
2015-05,19
2015-06,23
2015-07,27
2015-08,27
2015-09,24
2015-10,28
2015-11,27
2015-12,23
2016-01,25
2016-02,22
2016-03,25
2016-04,24
2016-05,22
2016-06,22
2016-07,20
2016-08,19
2016-09,23
2016-10,23
2016-11,24
2016-12,22
2017-01,29
2017-02,33
2017-03,35
2017-04,29
2017-05,32
2017-06,46
2017-07,60
2017-08,54
2017-09,68
2017-10,56
2017-11,59
2017-12,42
2018-01,47
2018-02,44
2018-03,53
2018-04,39
2018-05,39
2018-06,30
2018-07,38
2018-08,36
2018-09,33
2018-10,32
2018-11,33
2018-12,34
2019-01,44
2019-02,40
2019-03,44
2019-04,36
2019-05,35
2019-06,31
2019-07,38
2019-08,32
2019-09,36
2019-10,27
2019-11,34
2019-12,30
2020-01,33
2020-02,33
2020-03,49
2020-04,39
2020-05,30
2020-06,36
2020-07,33
2020-08,36
2020-09,40
2020-10,36
2020-11,37
2020-12,43
2021-01,56
2021-02,57
2021-03,50
2021-04,44
2021-05,37
2021-06,49
2021-07,39
2021-08,58
2021-09,36
2021-10,38
2021-11,39
2021-12,44
