카테고리: 모든 카테고리

월,기아자동차: (대한민국)
2011-01,96
2011-02,58
2011-03,56
2011-04,68
2011-05,71
2011-06,59
2011-07,69
2011-08,78
2011-09,75
2011-10,63
2011-11,71
2011-12,69
2012-01,65
2012-02,91
2012-03,75
2012-04,67
2012-05,57
2012-06,46
2012-07,52
2012-08,46
2012-09,60
2012-10,48
2012-11,53
2012-12,44
2013-01,49
2013-02,50
2013-03,50
2013-04,44
2013-05,43
2013-06,44
2013-07,43
2013-08,44
2013-09,47
2013-10,42
2013-11,35
2013-12,32
2014-01,39
2014-02,40
2014-03,34
2014-04,32
2014-05,29
2014-06,29
2014-07,27
2014-08,32
2014-09,36
2014-10,35
2014-11,30
2014-12,29
2015-01,28
2015-02,28
2015-03,35
2015-04,41
2015-05,33
2015-06,34
2015-07,34
2015-08,34
2015-09,40
2015-10,32
2015-11,27
2015-12,29
2016-01,36
2016-02,31
2016-03,33
2016-04,34
2016-05,29
2016-06,28
2016-07,29
2016-08,34
2016-09,39
2016-10,29
2016-11,31
2016-12,37
2017-01,52
2017-02,45
2017-03,48
2017-04,48
2017-05,52
2017-06,56
2017-07,55
2017-08,59
2017-09,63
2017-10,50
2017-11,49
2017-12,45
2018-01,47
2018-02,51
2018-03,47
2018-04,48
2018-05,46
2018-06,45
2018-07,45
2018-08,42
2018-09,54
2018-10,48
2018-11,42
2018-12,41
2019-01,44
2019-02,25
2019-03,28
2019-04,48
2019-05,45
2019-06,47
2019-07,56
2019-08,56
2019-09,53
2019-10,48
2019-11,54
2019-12,50
2020-01,48
2020-02,48
2020-03,45
2020-04,45
2020-05,47
2020-06,52
2020-07,53
2020-08,55
2020-09,52
2020-10,57
2020-11,54
2020-12,50
2021-01,83
2021-02,100
2021-03,79
2021-04,69
2021-05,62
2021-06,68
2021-07,65
2021-08,63
2021-09,57
2021-10,57
2021-11,60
2021-12,71
