카테고리: 모든 카테고리

월,삼성SDI: (대한민국)
2011-01,57
2011-02,45
2011-03,44
2011-04,62
2011-05,53
2011-06,67
2011-07,42
2011-08,44
2011-09,46
2011-10,51
2011-11,48
2011-12,53
2012-01,44
2012-02,53
2012-03,41
2012-04,49
2012-05,33
2012-06,33
2012-07,24
2012-08,25
2012-09,31
2012-10,24
2012-11,22
2012-12,19
2013-01,24
2013-02,22
2013-03,21
2013-04,24
2013-05,21
2013-06,21
2013-07,25
2013-08,22
2013-09,24
2013-10,34
2013-11,31
2013-12,28
2014-01,22
2014-02,22
2014-03,29
2014-04,27
2014-05,21
2014-06,22
2014-07,30
2014-08,24
2014-09,29
2014-10,34
2014-11,28
2014-12,29
2015-01,26
2015-02,23
2015-03,33
2015-04,28
2015-05,26
2015-06,31
2015-07,33
2015-08,35
2015-09,36
2015-10,36
2015-11,40
2015-12,29
2016-01,26
2016-02,35
2016-03,39
2016-04,28
2016-05,32
2016-06,37
2016-07,27
2016-08,33
2016-09,45
2016-10,28
2016-11,27
2016-12,33
2017-01,25
2017-02,41
2017-03,37
2017-04,26
2017-05,31
2017-06,37
2017-07,38
2017-08,50
2017-09,63
2017-10,45
2017-11,49
2017-12,32
2018-01,45
2018-02,41
2018-03,51
2018-04,38
2018-05,40
2018-06,37
2018-07,36
2018-08,33
2018-09,42
2018-10,35
2018-11,30
2018-12,27
2019-01,38
2019-02,26
2019-03,31
2019-04,30
2019-05,32
2019-06,21
2019-07,25
2019-08,31
2019-09,42
2019-10,30
2019-11,31
2019-12,28
2020-01,38
2020-02,60
2020-03,69
2020-04,71
2020-05,57
2020-06,66
2020-07,63
2020-08,79
2020-09,62
2020-10,53
2020-11,66
2020-12,60
2021-01,100
2021-02,66
2021-03,73
2021-04,62
2021-05,49
2021-06,55
2021-07,57
2021-08,46
2021-09,44
2021-10,40
2021-11,49
2021-12,51
