카테고리: 모든 카테고리

월,삼성바이오로직스: (대한민국)
2011-01,2
2011-02,0
2011-03,8
2011-04,0
2011-05,0
2011-06,0
2011-07,4
2011-08,8
2011-09,2
2011-10,0
2011-11,2
2011-12,5
2012-01,5
2012-02,3
2012-03,2
2012-04,0
2012-05,5
2012-06,2
2012-07,0
2012-08,3
2012-09,0
2012-10,5
2012-11,1
2012-12,1
2013-01,4
2013-02,3
2013-03,3
2013-04,3
2013-05,2
2013-06,1
2013-07,1
2013-08,0
2013-09,2
2013-10,2
2013-11,4
2013-12,3
2014-01,0
2014-02,4
2014-03,2
2014-04,3
2014-05,1
2014-06,2
2014-07,3
2014-08,3
2014-09,3
2014-10,2
2014-11,3
2014-12,2
2015-01,3
2015-02,2
2015-03,4
2015-04,3
2015-05,3
2015-06,3
2015-07,4
2015-08,2
2015-09,6
2015-10,3
2015-11,4
2015-12,10
2016-01,7
2016-02,3
2016-03,6
2016-04,5
2016-05,3
2016-06,6
2016-07,5
2016-08,9
2016-09,10
2016-10,7
2016-11,24
2016-12,13
2017-01,19
2017-02,25
2017-03,26
2017-04,19
2017-05,27
2017-06,44
2017-07,42
2017-08,29
2017-09,46
2017-10,37
2017-11,44
2017-12,31
2018-01,35
2018-02,35
2018-03,34
2018-04,51
2018-05,100
2018-06,50
2018-07,52
2018-08,48
2018-09,40
2018-10,44
2018-11,95
2018-12,59
2019-01,43
2019-02,35
2019-03,39
2019-04,42
2019-05,47
2019-06,36
2019-07,37
2019-08,32
2019-09,36
2019-10,26
2019-11,29
2019-12,29
2020-01,30
2020-02,42
2020-03,45
2020-04,51
2020-05,37
2020-06,52
2020-07,44
2020-08,45
2020-09,43
2020-10,31
2020-11,55
2020-12,37
2021-01,40
2021-02,25
2021-03,30
2021-04,26
2021-05,61
2021-06,39
2021-07,29
2021-08,40
2021-09,29
2021-10,25
2021-11,31
2021-12,30
