카테고리: 모든 카테고리

월,삼성전자: (대한민국)
2011-01,50
2011-02,32
2011-03,33
2011-04,36
2011-05,34
2011-06,33
2011-07,36
2011-08,38
2011-09,35
2011-10,33
2011-11,38
2011-12,30
2012-01,40
2012-02,44
2012-03,43
2012-04,33
2012-05,32
2012-06,32
2012-07,33
2012-08,33
2012-09,28
2012-10,26
2012-11,25
2012-12,26
2013-01,33
2013-02,25
2013-03,27
2013-04,26
2013-05,24
2013-06,34
2013-07,38
2013-08,30
2013-09,32
2013-10,31
2013-11,27
2013-12,27
2014-01,33
2014-02,24
2014-03,24
2014-04,23
2014-05,23
2014-06,21
2014-07,22
2014-08,19
2014-09,22
2014-10,22
2014-11,22
2014-12,21
2015-01,19
2015-02,18
2015-03,22
2015-04,20
2015-05,20
2015-06,16
2015-07,19
2015-08,20
2015-09,20
2015-10,20
2015-11,20
2015-12,18
2016-01,17
2016-02,16
2016-03,20
2016-04,15
2016-05,14
2016-06,15
2016-07,17
2016-08,18
2016-09,20
2016-10,18
2016-11,18
2016-12,17
2017-01,17
2017-02,18
2017-03,23
2017-04,20
2017-05,22
2017-06,20
2017-07,24
2017-08,23
2017-09,30
2017-10,22
2017-11,28
2017-12,21
2018-01,24
2018-02,29
2018-03,33
2018-04,29
2018-05,35
2018-06,30
2018-07,33
2018-08,33
2018-09,35
2018-10,29
2018-11,30
2018-12,27
2019-01,30
2019-02,30
2019-03,36
2019-04,30
2019-05,30
2019-06,26
2019-07,29
2019-08,30
2019-09,35
2019-10,27
2019-11,30
2019-12,30
2020-01,36
2020-02,42
2020-03,74
2020-04,58
2020-05,39
2020-06,45
2020-07,41
2020-08,47
2020-09,51
2020-10,39
2020-11,50
2020-12,64
2021-01,100
2021-02,78
2021-03,68
2021-04,67
2021-05,59
2021-06,69
2021-07,51
2021-08,75
2021-09,53
2021-10,53
2021-11,59
2021-12,64
