카테고리: 모든 카테고리

월,현대자동차: (대한민국)
2011-01,86
2011-02,63
2011-03,54
2011-04,60
2011-05,61
2011-06,60
2011-07,63
2011-08,74
2011-09,66
2011-10,60
2011-11,60
2011-12,48
2012-01,60
2012-02,60
2012-03,74
2012-04,73
2012-05,64
2012-06,50
2012-07,56
2012-08,58
2012-09,60
2012-10,49
2012-11,50
2012-12,44
2013-01,48
2013-02,46
2013-03,52
2013-04,46
2013-05,45
2013-06,41
2013-07,43
2013-08,57
2013-09,48
2013-10,42
2013-11,44
2013-12,39
2014-01,40
2014-02,35
2014-03,42
2014-04,35
2014-05,35
2014-06,35
2014-07,35
2014-08,39
2014-09,50
2014-10,41
2014-11,37
2014-12,34
2015-01,36
2015-02,37
2015-03,48
2015-04,39
2015-05,33
2015-06,37
2015-07,39
2015-08,42
2015-09,51
2015-10,38
2015-11,35
2015-12,38
2016-01,33
2016-02,35
2016-03,47
2016-04,38
2016-05,33
2016-06,32
2016-07,33
2016-08,34
2016-09,51
2016-10,37
2016-11,34
2016-12,59
2017-01,60
2017-02,61
2017-03,71
2017-04,68
2017-05,61
2017-06,63
2017-07,61
2017-08,63
2017-09,75
2017-10,62
2017-11,64
2017-12,58
2018-01,60
2018-02,63
2018-03,65
2018-04,61
2018-05,61
2018-06,60
2018-07,64
2018-08,60
2018-09,66
2018-10,61
2018-11,60
2018-12,68
2019-01,62
2019-02,36
2019-03,39
2019-04,65
2019-05,62
2019-06,62
2019-07,63
2019-08,61
2019-09,68
2019-10,64
2019-11,68
2019-12,57
2020-01,61
2020-02,60
2020-03,59
2020-04,63
2020-05,62
2020-06,69
2020-07,61
2020-08,68
2020-09,75
2020-10,75
2020-11,74
2020-12,69
2021-01,100
2021-02,84
2021-03,69
2021-04,69
2021-05,54
2021-06,71
2021-07,65
2021-08,60
2021-09,68
2021-10,60
2021-11,69
2021-12,58
